Line Scheme	Meter Scheme	PoemID	Poet	Title	Year	constraint_SUM_VIOL	constraint_footmin-s-noHX	constraint_footmin-wordbound-bothnotfw	constraint_headedness!=rising	constraint_number_feet!=5	constraint_phrasal_stress.w=>-p	constraint_skip_initial_foot	constraint_strength.w=>-p	line	line_is_in_nonbounded_parses	line_iscorrect	line_iscorrect_dummy	line_iscorrect_dummy_iambic	line_iscorrect_human2	line_num	meter_info	num_sylls	num_sylls_correct	num_sylls_correct_control	num_sylls_correct_control_iambic	num_sylls_correct_human2	parse	parse_comp	parse_human	parse_human2	parse_str_compu	parse_str_human	parse_str_stress	parses_comp_nonbounded	perc_sylls_correct	perc_sylls_correct_control	perc_sylls_correct_control_iambic	perc_sylls_correct_human2	prosody_ipa	prosody_stress
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	3.0	0	0	1.0	1.0	1.0	0	0	Never hear the sweet music of speech,	0	0	1	0	1	(11, 2)	<<Meter  ID: prose_rhythm_iambic  Name: Prose Rhythm Class, Iambic Meter  Constraints:    [*footmin-wordbound-bothnotfw/1.0] [*footmin-s-noHX/1.0]   [*headedness!=rising/1.0]   [*number_feet!=5/1.0]   [*phrasal_stress.w=>-p/1.0]   [*skip_initial_foot/1.0]   [*strength.w=>-p/1.0]  MaxS, MaxW: 2, 2  Allow heavy syllable split across two positions: False >>	9	3	9	4	9	wwswwswws	sswswswsw	wwswwswws	wwswwswws	NEV  ER  hear  THE  sweet  MU  sic  OF  speech	nev  er  HEAR  the  sweet  MU  sic  of  SPEECH	NEV  er  HEAR  the  SWEET  MU  sic  of  SPEECH	sswswswsw | swswswsws | wwswswsws | sswswswws | sswswssws | sswswswss	0.333333333333	1.0	0.444444444444	1.0	`nɛ.vɛː `hɪr ðə `swiːt `mjuː.zɪk ʌv `spiːʧ	PU P U P PU U P
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	2.22222222222	0	0	0	1.0	1.22222222222	0	0	I start at the sound of my own.	0	0	0	0	1	(12, 2)	<<Meter  ID: prose_rhythm_iambic  Name: Prose Rhythm Class, Iambic Meter  Constraints:    [*footmin-wordbound-bothnotfw/1.0] [*footmin-s-noHX/1.0]   [*headedness!=rising/1.0]   [*number_feet!=5/1.0]   [*phrasal_stress.w=>-p/1.0]   [*skip_initial_foot/1.0]   [*strength.w=>-p/1.0]  MaxS, MaxW: 2, 2  Allow heavy syllable split across two positions: False >>	8	5	3	5	8	wswwswws	wswswsws	wswwswws	wswwswws	i  START  at  THE  sound  OF  my  OWN	i  START  at  the  SOUND  of  my  OWN	I  START  AT  the  SOUND  of  my  OWN	wswswsws | swswswws | swswssws	0.625	0.375	0.625	1.0	`aɪ `stɑrt `æt ðə `saʊnd ʌv maɪ `oʊn	P P P U P U U P
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	2.55555555556	0	0	0	1.0	0.555555555556	0	1.0	The beasts that roam over the plain	0	0	0	0	1	(13, 2)	<<Meter  ID: prose_rhythm_iambic  Name: Prose Rhythm Class, Iambic Meter  Constraints:    [*footmin-wordbound-bothnotfw/1.0] [*footmin-s-noHX/1.0]   [*headedness!=rising/1.0]   [*number_feet!=5/1.0]   [*phrasal_stress.w=>-p/1.0]   [*skip_initial_foot/1.0]   [*strength.w=>-p/1.0]  MaxS, MaxW: 2, 2  Allow heavy syllable split across two positions: False >>	8	5	3	5	8	wswwswws	wswswsws	wswwswws	wswwswws	the  BEASTS  that  ROAM  ov  ER  the  PLAIN	the  BEASTS  that  roam  OV  er  the  PLAIN	the  BEASTS  THAT  ROAM  OV  er  the  PLAIN	wswswsws | swswswsw | swswswws | swswssws | wswsswsw | wswsswws	0.625	0.375	0.625	1.0	ðə `biːsts `ðæt `roʊm `oʊ.vɛː ðə `pleɪn	U P P P PU U P
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	2.0	0	0	1.0	1.0	0	0	0	My form with indifference see,	0	0	0	0	1	(14, 2)	<<Meter  ID: prose_rhythm_iambic  Name: Prose Rhythm Class, Iambic Meter  Constraints:    [*footmin-wordbound-bothnotfw/1.0] [*footmin-s-noHX/1.0]   [*headedness!=rising/1.0]   [*number_feet!=5/1.0]   [*phrasal_stress.w=>-p/1.0]   [*skip_initial_foot/1.0]   [*strength.w=>-p/1.0]  MaxS, MaxW: 2, 2  Allow heavy syllable split across two positions: False >>	8	5	3	5	8	wswwswws	swswswws	wswwswws	wswwswws	MY  form  WITH  in  DIF  fer  ence  SEE	my  FORM  with  in  DIF  fer  ence  SEE	my  FORM  with  in  DIF  fer  ence  SEE	swswswws | swswssws | swswsws | wswswws	0.625	0.375	0.625	1.0	maɪ `fɔːrm wɪð ɪn.`dɪ.fɛː.əns `siː	U P U UPUU P
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	2.0	0	0	1.0	0	0	0	1.0	They are so unacquainted with man,	1	0	1	0	1	(15, 2)	<<Meter  ID: prose_rhythm_iambic  Name: Prose Rhythm Class, Iambic Meter  Constraints:    [*footmin-wordbound-bothnotfw/1.0] [*footmin-s-noHX/1.0]   [*headedness!=rising/1.0]   [*number_feet!=5/1.0]   [*phrasal_stress.w=>-p/1.0]   [*skip_initial_foot/1.0]   [*strength.w=>-p/1.0]  MaxS, MaxW: 2, 2  Allow heavy syllable split across two positions: False >>	9	5	9	4	9	wwswwswws	swswswsws	wwswwswws	wwswwswws	THEY  are  SO  un  AC  quaint  ED  with  MAN	they  are  SO  un  ac  QUAINT  ed  with  MAN	THEY  are  so  un  ac  QUAINT  ed  with  MAN	swswswsws | wswswswsw | wswswswws | wswswssws | wswswwsws | wswsswsws | wwswswsws | wwswsswsw | wwswsswws | wwswwswsw | wwswwswws | wwswwssws	0.555555555556	1.0	0.444444444444	1.0	`ðeɪ ɑr soʊ ʌ.næ.`kweɪn.tɪ wɪð `mæn	P U U UUPU U P
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	2.71428571429	0	0	1.0	1.0	0.714285714286	0	0	Their tameness is shocking to me.	0	0	0	0	0	(16, 2)	<<Meter  ID: prose_rhythm_iambic  Name: Prose Rhythm Class, Iambic Meter  Constraints:    [*footmin-wordbound-bothnotfw/1.0] [*footmin-s-noHX/1.0]   [*headedness!=rising/1.0]   [*number_feet!=5/1.0]   [*phrasal_stress.w=>-p/1.0]   [*skip_initial_foot/1.0]   [*strength.w=>-p/1.0]  MaxS, MaxW: 2, 2  Allow heavy syllable split across two positions: False >>	8	4	3	5	3	wswwswws	swswssws	wswwswws	wwswwswws	THEIR  tame  NESS  is  SHOCK  ING  to  ME	their  TAME  ness  is  SHOCK  ing  to  ME	their  TAME  ness  is  SHOCK  ing  to  me	swswssws | wswsswsw | wswsswss | wswsswws	0.5	0.375	0.625	0.375	ðɛr `teɪm.nʌ ɪz `ʃɑ.kɪŋ tuː miː	U PU U PU U U
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	2.0	0	0	0	1.0	0	0	1.0	Society, friendship, and love,	0	0	0	0	0	(17, 3)	<<Meter  ID: prose_rhythm_iambic  Name: Prose Rhythm Class, Iambic Meter  Constraints:    [*footmin-wordbound-bothnotfw/1.0] [*footmin-s-noHX/1.0]   [*headedness!=rising/1.0]   [*number_feet!=5/1.0]   [*phrasal_stress.w=>-p/1.0]   [*skip_initial_foot/1.0]   [*strength.w=>-p/1.0]  MaxS, MaxW: 2, 2  Allow heavy syllable split across two positions: False >>	7	3	2	3	2	swwswws	wswswsws	swwswws	wswwswws	so  CI  et  Y  friend  SHIP  and  LOVE	SO  ci  et  Y  friend  ship  AND	so  CI  et  y  FRIEND  ship  and  LOVE	wswswsws | wswwswsw | wswwswws | wswwssws | wwswswsw | wwswswws | wwswssws | wwsswsws	0.428571428571	0.285714285714	0.428571428571	0.285714285714	sə.`saɪ.ə.tiː `frɛnd.ʃɪp ænd `lʌv	UPUU PU U P
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	2.0	0	0	0	1.0	1.0	0	0	Divinely bestow'd upon man,	0	0	0	0	1	(18, 3)	<<Meter  ID: prose_rhythm_iambic  Name: Prose Rhythm Class, Iambic Meter  Constraints:    [*footmin-wordbound-bothnotfw/1.0] [*footmin-s-noHX/1.0]   [*headedness!=rising/1.0]   [*number_feet!=5/1.0]   [*phrasal_stress.w=>-p/1.0]   [*skip_initial_foot/1.0]   [*strength.w=>-p/1.0]  MaxS, MaxW: 2, 2  Allow heavy syllable split across two positions: False >>	8	5	3	5	8	wswwswws	wswsswsw	wswwswws	wswwswws	di  VINE  ly  BE  STOW'D  up  ON  man	di  VINE  ly  be  STOW'D  up  on  MAN	di  VINE  ly  be  STOW'D  up  ON  MAN	wswsswsw | wswsswws | wwswswsw | wwswswws | wswsswss | wwswswss	0.625	0.375	0.625	1.0	dɪ.`vaɪn.liː bɪ.`stoʊd ə.`pɑn `mæn	UPU UP UP P
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	1.55555555556	0	0	0	1.0	0.555555555556	0	0	Oh had I the wings of a dove,	1	1	0	0	1	(19, 3)	<<Meter  ID: prose_rhythm_iambic  Name: Prose Rhythm Class, Iambic Meter  Constraints:    [*footmin-wordbound-bothnotfw/1.0] [*footmin-s-noHX/1.0]   [*headedness!=rising/1.0]   [*number_feet!=5/1.0]   [*phrasal_stress.w=>-p/1.0]   [*skip_initial_foot/1.0]   [*strength.w=>-p/1.0]  MaxS, MaxW: 2, 2  Allow heavy syllable split across two positions: False >>	8	8	3	5	8	wswwswws	wswwswws	wswwswws	wswwswws	oh  HAD  i  the  WINGS  of  a  DOVE	oh  HAD  i  the  WINGS  of  a  DOVE	OH  HAD  I  the  WINGS  of  a  DOVE	wswwswws | wswwssws	1.0	0.375	0.625	1.0	`oʊ `hæd `aɪ ðə `wɪŋz ʌv eɪ `dəv	P P P U P U U P
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	1.0	0	0	0	1.0	0	0	0	How soon would I taste you again!	0	0	0	0	1	(20, 3)	<<Meter  ID: prose_rhythm_iambic  Name: Prose Rhythm Class, Iambic Meter  Constraints:    [*footmin-wordbound-bothnotfw/1.0] [*footmin-s-noHX/1.0]   [*headedness!=rising/1.0]   [*number_feet!=5/1.0]   [*phrasal_stress.w=>-p/1.0]   [*skip_initial_foot/1.0]   [*strength.w=>-p/1.0]  MaxS, MaxW: 2, 2  Allow heavy syllable split across two positions: False >>	8	7	3	5	8	wswwswws	wswwswss	wswwswws	wswwswws	how  SOON  would  i  TASTE  you  AG  AIN	how  SOON  would  i  TASTE  you  ag  AIN	how  SOON  WOULD  I  TASTE  you  ag  AIN	wswwswss	0.875	0.375	0.625	1.0	haʊ `suːn `wʊd `aɪ `teɪst juː ə.`gɛn	U P P P P U UP
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	1.55555555556	0	0	0	1.0	0.555555555556	0	0	My sorrows I then might assuage	0	0	0	0	1	(21, 3)	<<Meter  ID: prose_rhythm_iambic  Name: Prose Rhythm Class, Iambic Meter  Constraints:    [*footmin-wordbound-bothnotfw/1.0] [*footmin-s-noHX/1.0]   [*headedness!=rising/1.0]   [*number_feet!=5/1.0]   [*phrasal_stress.w=>-p/1.0]   [*skip_initial_foot/1.0]   [*strength.w=>-p/1.0]  MaxS, MaxW: 2, 2  Allow heavy syllable split across two positions: False >>	8	6	3	5	8	wswwswws	wsswswss	wswwswws	wswwswws	my  SOR  ROWS  i  THEN  might  AS  SUAGE	my  SOR  rows  i  THEN  might  as  SUAGE	my  SOR  rows  I  THEN  MIGHT  as  SUAGE	wsswswss | wsswssws	0.75	0.375	0.625	1.0	maɪ `sɑ.roʊz `aɪ `ðɛn `maɪt ə.`sweɪʤ	U PU P P P UP
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	1.66666666667	0	0	0	1.0	0.666666666667	0	0	In the ways of religion and truth,	0	0	1	0	1	(22, 3)	<<Meter  ID: prose_rhythm_iambic  Name: Prose Rhythm Class, Iambic Meter  Constraints:    [*footmin-wordbound-bothnotfw/1.0] [*footmin-s-noHX/1.0]   [*headedness!=rising/1.0]   [*number_feet!=5/1.0]   [*phrasal_stress.w=>-p/1.0]   [*skip_initial_foot/1.0]   [*strength.w=>-p/1.0]  MaxS, MaxW: 2, 2  Allow heavy syllable split across two positions: False >>	9	5	9	4	9	wwswwswws	wswswssws	wwswwswws	wwswwswws	in  THE  ways  OF  re  LI  GION  and  TRUTH	in  the  WAYS  of  re  LI  gion  and  TRUTH	in  the  WAYS  of  re  LI  gion  and  TRUTH	wswswssws | wwswsswws | swwswssws	0.555555555556	1.0	0.444444444444	1.0	ɪn ðə `weɪz ʌv rɪ.`lɪ.ʤən ænd `truːθ	U U P U UPU U P
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	3.0	0	0	1.0	1.0	1.0	0	0	Might learn from the wisdom of age,	0	0	0	0	1	(23, 3)	<<Meter  ID: prose_rhythm_iambic  Name: Prose Rhythm Class, Iambic Meter  Constraints:    [*footmin-wordbound-bothnotfw/1.0] [*footmin-s-noHX/1.0]   [*headedness!=rising/1.0]   [*number_feet!=5/1.0]   [*phrasal_stress.w=>-p/1.0]   [*skip_initial_foot/1.0]   [*strength.w=>-p/1.0]  MaxS, MaxW: 2, 2  Allow heavy syllable split across two positions: False >>	8	3	3	5	8	wswwswws	swswswsw	wswwswws	wswwswws	MIGHT  learn  FROM  the  WIS  dom  OF  age	might  LEARN  from  the  WIS  dom  of  AGE	MIGHT  LEARN  from  the  WIS  dom  of  AGE	swswswsw | swswswws | swswssws | wswswsws | swswswss	0.375	0.375	0.625	1.0	`maɪt `lɛːn frʌm ðə `wɪz.dəm ʌv `eɪʤ	P P U U PU U P
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	2.11111111111	0	0	0	1.0	1.11111111111	0	0	And be cheer'd by the sallies of youth.	0	0	1	0	1	(24, 3)	<<Meter  ID: prose_rhythm_iambic  Name: Prose Rhythm Class, Iambic Meter  Constraints:    [*footmin-wordbound-bothnotfw/1.0] [*footmin-s-noHX/1.0]   [*headedness!=rising/1.0]   [*number_feet!=5/1.0]   [*phrasal_stress.w=>-p/1.0]   [*skip_initial_foot/1.0]   [*strength.w=>-p/1.0]  MaxS, MaxW: 2, 2  Allow heavy syllable split across two positions: False >>	9	8	9	4	9	wwswwswws	wwswwssws	wwswwswws	wwswwswws	and  be  CHEER'D  by  the  SAL  LIES  of  YOUTH	and  be  CHEER'D  by  the  SAL  lies  of  YOUTH	and  BE  CHEER'D  by  the  SAL  lies  of  YOUTH	wwswwssws | swwswssws | wwswwswss | swwswswss	0.888888888889	1.0	0.444444444444	1.0	ænd `biː `ʧɪrd baɪ ðə `sæ.liːz ʌv `juːθ	U P P U U PU U P
