line                                    	meter	[*footmin-no-s-unless-preceded-by-ww]	[*footmin-none]	[*posthoc-no-final-ww]	[*posthoc-standardize-weakpos]	[*strength.s=>-u]	[*strength.w=>-p]	[*stress.s=>-u]	[*stress.w=>-p]
                                        	swswswsws	3.0	3.0	4.0	0	0	0.0	2.0	0
three hundred years before the fall     	wswswsws	0	0	0	0	0	0.0	2.0	0
                                        	sswswsws	0	0	0	0	10.0	0.0	0	1.0
and never crew again till now           	wswswsws	0	0	0	0	0	0.0	0	0
and would not now but that he thought   	wswswsws	0	0	0	0	0	0.0	0	0
chance being at one with choice at last 	wswswwsws	0	0	0	0	0	1.0	2.0	1.0
                                        	wswswswsw	0	0	2.0	0	0	0.0	6.0	0
                                        	swswswsws	3.0	3.0	4.0	0	0	0.0	2.0	0
                                        	sswswwsws	0	0	0	0	10.0	1.0	0	2.0
                                        	sswswswsw	0	0	2.0	0	10.0	0.0	4.0	1.0
                                        	wswswswss	0	0	2.0	0	10.0	0.0	4.0	1.0
                                        	sswwswwss	0	0	2.0	0	10.0	0.0	2.0	4.0
                                        	sswwsswws	0	0	2.0	0	10.0	0.0	2.0	4.0
                                        	sswwsswws	0	0	2.0	0	10.0	0.0	2.0	4.0
                                        	sswswswss	0	0	2.0	0	20.0	0.0	2.0	2.0
all that the brigand apple brought      	wswswsws	0	0	0	0	0	0.0	0	0
and this foul world were dead at last   	wwsswsws	0	0	0	0	0	1.0	0	2.0
                                        	wswswsws	0	0	2.0	0	0	0.0	2.0	0
                                        	wwsswwss	0	0	0	0	0	0.0	2.0	4.0
                                        	swsswsws	0	0	2.0	0	10.0	0.0	0	1.0
he that crowed out eternity             	wwswwsww	0	0	0	1.0	0	0.0	0	3.0
                                        	wwswwsws	0	0	2.0	0	0	1.0	0	2.0
                                        	wswswsws	0	0	4.0	0	0	0.0	2.0	0
                                        	swswwsws	0	0	4.0	0	0	1.0	0	1.0
                                        	swswwsww	0	0	2.0	1.0	0	1.0	0	2.0
                                        	wswswsww	0	0	2.0	1.0	0	1.0	2.0	1.0
thought to have crowed it in again      	swwswsws	0	0	0	0	0	1.0	0	1.0
                                        	wswswsws	0	0	2.0	0	0	0.0	2.0	0
                                        	swwsswws	0	0	2.0	0	0	0.0	0	3.0
                                        	swsswsws	0	0	0	0	10.0	0.0	0	1.0
for though love has a spider's eye      	wwsswsws	0	0	0	0	0	1.0	0	2.0
                                        	wwswwsws	0	0	0	0	0	1.0	0	2.0
                                        	wswswsws	0	0	2.0	0	0	0.0	2.0	0
                                        	swswwsws	0	0	2.0	0	0	1.0	0	1.0
                                        	wwswwsww	0	0	0	1.0	0	0.0	2.0	3.0
                                        	swsswsws	0	0	2.0	0	10.0	0.0	0	1.0
                                        	wwsswwss	3.0	3.0	2.0	0	0	0.0	2.0	4.0
to find out some appropriate pain       	wswswswws	0	0	0	0	0	1.0	0	1.0
                                        	wswswswsw	0	0	0	0	0	0.0	2.0	0
                                        	wswswswss	0	0	0	0	10.0	0.0	0	1.0
aye though all passion's in the glance  	swwswsws	0	0	0	0	0	1.0	0	1.0
                                        	wswswsws	0	0	2.0	0	0	0.0	2.0	0
                                        	swwswwss	0	0	2.0	0	0	0.0	0	3.0
                                        	swsswsws	0	0	0	0	10.0	0.0	0	1.0
for every nerve and tests a lover       	wswswswsw	0	0	0	0	0	0.0	0	0
with cruelties of choice and chance     	wswwsws	0	0	0	0	0	1.0	0	1.0
                                        	wswswsws	0	0	2.0	0	0	0.0	0	0
and when at last that murder's over     	wswswswsw	0	0	0	0	0	0.0	0	0
maybe the bride bed brings despair      	swwswsws	0	0	0	0	0	1.0	2.0	1.0
                                        	swwsswws	0	0	0	0	0	0.0	2.0	3.0
                                        	wswswsws	3.0	3.0	2.0	0	0	0.0	4.0	0
                                        	swswswss	3.0	0	4.0	0	10.0	0.0	4.0	1.0
for each an imagined image brings       	wswwswsws	0	0	0	0	0	1.0	0	1.0
                                        	swswswsws	0	0	4.0	0	0	0.0	0	0
and finds a real image there            	wswwsws	0	0	2.0	0	0	1.0	2.0	1.0
                                        	wswwsww	0	0	0	1.0	0	1.0	2.0	2.0
                                        	swswsws	0	0	6.0	0	0	0.0	4.0	0
                                        	wswswsw	3.0	3.0	2.0	0	0	0.0	2.0	0
                                        	swswsww	0	0	4.0	1.0	0	1.0	4.0	1.0
                                        	wswssws	0	0	2.0	0	10.0	0.0	0	1.0
                                        	wswssww	0	0	0	1.0	10.0	1.0	0	2.0
yet the world ends when these two things	swswswsw	0	0	0	0	0	0.0	4.0	0
                                        	wwsswwss	0	0	0	0	0	0.0	0	4.0
                                        	swwswwss	0	0	0	0	0	0.0	2.0	3.0
                                        	wswswwss	0	0	2.0	0	0	1.0	2.0	2.0
                                        	wwsswsws	0	0	2.0	0	0	1.0	2.0	2.0
                                        	swswswss	0	0	0	0	10.0	0.0	2.0	1.0
                                        	swsswwss	0	0	0	0	10.0	1.0	0	3.0
though several are a single light       	wswswsws	0	0	2.0	0	0	0.0	0	0
when oil and wick are burned in one     	wswswsws	0	0	2.0	0	0	0.0	0	0
                                        	wswswsww	0	0	0	1.0	0	1.0	0	1.0
                                        	wswswwsw	0	0	0	0	0	1.0	2.0	1.0
                                        	wswswssw	0	0	0	0	10.0	0.0	0	1.0
therefore a blessed moon last night     	swwswws	0	0	0	0	0	0.0	2.0	2.0
                                        	swswsws	0	0	2.0	0	0	0.0	4.0	0
                                        	swwswsw	0	0	0	0	0	1.0	4.0	1.0
gave sheba to her solomon               	wswswsws	0	0	4.0	0	0	0.0	2.0	0
                                        	wswswsww	0	0	2.0	1.0	0	1.0	2.0	1.0
                                        	sswswsws	0	0	4.0	0	10.0	0.0	0	1.0
                                        	sswswsww	0	0	2.0	1.0	10.0	1.0	0	2.0
yet the world stays                     	swsw	0	0	0	0	0	0.0	2.0	0
                                        	wwss	0	0	0	0	0	0	0	2.0
                                        	swss	0	0	0	0	10.0	0	0	1.0
if that be so                           	wsws	0	0	2.0	0	0	0.0	0	0
                                        	swsw	0	0	2.0	0	0	0.0	0	0
                                        	wwsw	0	0	0	0	0	1.0	0	1.0
                                        	wssw	0	0	0	0	10.0	0.0	0	1.0
your cockerel found us in the wrong     	wswwswsws	0	0	0	0	0	1.0	0	1.0
                                        	wswswswsw	0	0	6.0	0	0	0.0	4.0	0
                                        	swswswsws	3.0	3.0	4.0	0	0	0.0	2.0	0
                                        	wswswswss	0	0	6.0	0	10.0	0.0	2.0	1.0
although he thought it worth a crow     	wswswsws	0	0	0	0	0	0.0	0	0
maybe an image is too strong            	swwswwss	0	0	0	0	0	0.0	0	3.0
                                        	swwswwsw	0	0	0	0	0	1.0	2.0	2.0
                                        	swwswsws	0	0	2.0	0	0	1.0	2.0	1.0
                                        	wswswwss	3.0	3.0	2.0	0	0	1.0	2.0	2.0
                                        	swswswsw	3.0	3.0	4.0	0	0	0.0	4.0	0
                                        	wswswsws	3.0	3.0	4.0	0	0	0.0	4.0	0
                                        	wswswwsw	3.0	3.0	2.0	0	0	1.0	4.0	1.0
                                        	swswswss	3.0	3.0	4.0	0	10.0	0.0	2.0	1.0
or maybe is not strong enough           	wswswsws	0	0	2.0	0	0	0.0	0	0
                                        	wswwssws	0	0	0	0	0	1.0	0	2.0
the night has fallen not a sound        	wswswsws	0	0	0	0	0	0.0	0	0
in the forbidden sacred grove           	swswwsws	0	0	0	0	0	1.0	0	1.0
                                        	swwswsws	0	0	0	0	0	1.0	0	1.0
                                        	wswswsws	0	0	2.0	0	0	0.0	0	0
                                        	wwswwsww	0	0	0	1.0	0	0.0	2.0	3.0
unless a petal hit the ground           	wswswsws	0	0	0	0	0	0.0	0	0
nor any human sight within it           	wswswswsw	0	0	0	0	0	0.0	0	0
but the crushed grass where we have lain	wwsswwss	0	0	0	0	0	0.0	0	4.0
                                        	wwswswws	0	0	0	0	0	1.0	2.0	2.0
                                        	wwsswsws	0	0	2.0	0	0	1.0	0	2.0
                                        	swswswsw	0	0	2.0	0	0	0.0	4.0	0
                                        	wwswswsw	0	0	0	0	0	1.0	4.0	1.0
                                        	swswswws	0	0	2.0	0	0	1.0	2.0	1.0
                                        	wswswsws	0	0	4.0	0	0	0.0	2.0	0
                                        	wwswwsww	0	0	2.0	1.0	0	0.0	4.0	3.0
                                        	swswswss	0	0	2.0	0	10.0	0.0	2.0	1.0
                                        	swsswsws	0	0	4.0	0	10.0	0.0	0	1.0
and the moon is wilder every minute     	swswswswsw	0	0	2.0	0	0	0.0	0	0
                                        	wwswswswsw	0	0	0	0	0	1.0	0	1.0
o solomon let us try again              	wswwswsws	0	0	0	0	0	1.0	0	1.0
                                        	swswswsws	3.0	3.0	4.0	0	0	0.0	2.0	0
                                        	wswswswss	3.0	0	6.0	0	10.0	0.0	4.0	1.0
do not because this day i have grown saturnine	wswswswswsws	0	0	0	0	0	0.0	2.0	0
                                        	wswswswwssws	0	0	0	0	0	1.0	0	2.0
imagine that lost love inseparable from my thought	wswswswswswsws	0	0	4.0	0	0	0.0	2.0	0
                                        	wswswswswwssws	0	0	2.0	0	0	1.0	2.0	2.0
                                        	wswwsswswswsws	0	0	4.0	0	0	1.0	0	2.0
                                        	wswwsswswwswws	0	0	2.0	0	0	2.0	0	4.0
                                        	wswwsswswwssws	0	0	2.0	0	0	2.0	0	4.0
because i have no other youth can make me pine	wswswswswsws	0	0	0	0	0	0.0	2.0	0
                                        	wswwsswswsws	0	0	0	0	0	1.0	0	2.0
for how should i forget the wisdom that you brought	swswwswswsws	0	0	2.0	0	0	1.0	0	1.0
                                        	wwswwswswsws	0	0	0	0	0	2.0	0	2.0
                                        	wswswswswsws	0	0	4.0	0	0	0.0	0	0
                                        	wwswwswswwss	0	0	2.0	0	0	1.0	2.0	4.0
                                        	wwswwswwswws	3.0	3.0	2.0	0	0	0.0	2.0	4.0
the comfort that you made although my wits have gone	wswswswswsws	0	0	0	0	0	0.0	0	0
on a fantastic ride my horse's flanks are spurred	wswswswswsws	0	0	2.0	0	0	0.0	0	0
by childish memories of an old cross pollexfen	wswswswwswsws	0	0	4.0	0	0	1.0	2.0	1.0
                                        	wswswwswswsws	0	0	4.0	0	0	1.0	2.0	1.0
                                        	wswswswwswsww	0	0	2.0	1.0	0	2.0	2.0	2.0
                                        	wswswwswswsww	0	0	2.0	1.0	0	2.0	2.0	2.0
                                        	wswswswswswsw	3.0	3.0	6.0	0	0	0.0	4.0	0
and of a middleton whose name you never heard	wswswswswsws	0	0	4.0	0	0	0.0	0	0
                                        	wswswwsswsws	0	0	2.0	0	0	1.0	0	2.0
and of a red haired yeats whose looks although he died	wswswswswsws	0	0	2.0	0	0	0.0	2.0	0
before my time seem like a vivid memory 	wswswswswsws	0	0	2.0	0	0	0.0	2.0	0
                                        	wswswswswsww	0	0	0	1.0	0	1.0	2.0	1.0
                                        	wswsswwswsws	0	0	2.0	0	10.0	1.0	0	2.0
                                        	wswsswwswsww	0	0	0	1.0	10.0	2.0	0	3.0
you heard that labouring man who had served my	wswswwsswsw	0	0	0	0	0	1.0	0	2.0
                                        	wswswswswsw	0	0	2.0	0	0	0.0	2.0	0
people he said                          	swws	0	0	0	0	0	0	0	1.0
                                        	swsw	0	0	2.0	0	0	0.0	2.0	0
upon the open road near to the sligo quay	wswswswswsws	0	0	2.0	0	0	0.0	0	0
                                        	wswswwswwsws	0	0	0	0	0	2.0	2.0	2.0
                                        	wswswsswwsws	0	0	0	0	10.0	1.0	0	2.0
no no not said but cried it out you have come again	wswswswswwsws	0	0	2.0	0	0	1.0	2.0	1.0
                                        	wswswswwswsws	0	0	2.0	0	0	1.0	2.0	1.0
                                        	swswswswswsws	0	0	6.0	0	0	0.0	6.0	0
                                        	wswswswswssws	0	0	2.0	0	10.0	0.0	2.0	1.0
                                        	sswswswswwsws	0	0	2.0	0	10.0	1.0	0	2.0
                                        	sswswswwswsws	0	0	2.0	0	10.0	1.0	0	2.0
                                        	wswswswswswsw	3.0	3.0	4.0	0	0	0.0	6.0	0
                                        	sswswswswssws	0	0	2.0	0	20.0	0.0	0	2.0
and surely after twenty years it was time to come	wswswswswwsws	0	0	0	0	0	1.0	0	1.0
                                        	wswswswswswsw	0	0	4.0	0	0	0.0	4.0	0
                                        	wswswswswswss	0	0	4.0	0	10.0	0.0	2.0	1.0
i am thinking of a child's vow sworn in vain	swswswswsws	0	0	4.0	0	0	0.0	2.0	0
                                        	wwswswswsws	0	0	2.0	0	0	1.0	2.0	1.0
never to leave that valley his fathers called their home	swwswswwswsws	0	0	0	0	0	2.0	0	2.0
                                        	swwswswwswwss	0	0	2.0	0	0	1.0	2.0	4.0
                                        	wswswswwswsws	3.0	3.0	2.0	0	0	1.0	2.0	1.0
                                        	swswswswswsws	3.0	3.0	4.0	0	0	0.0	4.0	0
i have met them at close of day         	wwswwsws	0	0	0	0	0	1.0	0	2.0
                                        	wswswsws	0	0	2.0	0	0	0.0	2.0	0
                                        	swswwsws	0	0	2.0	0	0	1.0	0	1.0
                                        	wwswwsww	0	0	0	1.0	0	0.0	2.0	3.0
                                        	swswssws	0	0	2.0	0	10.0	0.0	0	1.0
                                        	wsswssws	0	0	0	0	20.0	0.0	0	2.0
coming with vivid faces                 	swwswsw	0	0	0	0	0	1.0	0	1.0
                                        	wswswsw	3.0	3.0	2.0	0	0	0.0	2.0	0
                                        	swwswws	3.0	3.0	2.0	0	0	0.0	2.0	2.0
from counter or desk among grey         	wswwswsw	0	0	0	0	0	1.0	2.0	1.0
                                        	wswwswss	0	0	0	0	10.0	1.0	0	2.0
                                        	swswswsw	3.0	3.0	4.0	0	0	0.0	4.0	0
                                        	wswswsws	3.0	3.0	4.0	0	0	0.0	4.0	0
                                        	wswswssw	3.0	0	4.0	0	10.0	0.0	4.0	1.0
                                        	swswswss	3.0	3.0	4.0	0	10.0	0.0	2.0	1.0
eighteenth century houses               	swswwsw	0	0	0	0	0	1.0	0	1.0
                                        	swswsws	3.0	3.0	4.0	0	0	0.0	2.0	0
                                        	swswssw	0	0	2.0	0	10.0	0.0	0	1.0
i have passed with a nod of the head    	wwswwswws	0	0	0	0	0	0.0	0	3.0
                                        	swswwswws	0	0	2.0	0	0	1.0	0	2.0
                                        	wswswswws	0	0	2.0	0	0	1.0	2.0	1.0
                                        	wswswswsw	0	0	4.0	0	0	0.0	4.0	0
                                        	swswswsws	0	0	6.0	0	0	0.0	2.0	0
                                        	wswswswss	0	0	4.0	0	10.0	0.0	2.0	1.0
                                        	wswswssws	0	0	4.0	0	10.0	0.0	2.0	1.0
                                        	wsswswsws	0	0	4.0	0	10.0	0.0	2.0	1.0
or polite meaningless words             	wwsswws	0	0	0	0	0	0.0	0	3.0
                                        	wwsswsw	0	0	2.0	0	0	1.0	2.0	2.0
                                        	swwswws	0	3.0	2.0	0	0	0.0	2.0	2.0
                                        	swswsws	3.0	3.0	4.0	0	0	0.0	2.0	0
                                        	wswswws	3.0	3.0	2.0	0	0	1.0	2.0	1.0
                                        	wwswsws	3.0	3.0	2.0	0	0	1.0	2.0	1.0
                                        	swswwsw	0	3.0	4.0	0	0	1.0	4.0	1.0
                                        	swwswsw	0	3.0	4.0	0	0	1.0	4.0	1.0
                                        	swsswws	0	0	2.0	0	10.0	1.0	0	2.0
                                        	swsswsw	0	0	4.0	0	10.0	0.0	2.0	1.0
                                        	swsswss	0	0	4.0	0	20.0	0.0	0	2.0
or have lingered awhile and said        	wwswwsws	0	0	0	0	0	1.0	0	2.0
                                        	swswwsws	0	0	2.0	0	0	1.0	0	1.0
                                        	wwswwsww	0	0	0	1.0	0	0.0	2.0	3.0
                                        	wswswsws	3.0	3.0	2.0	0	0	0.0	2.0	0
polite meaningless words                	wwswws	0	3.0	0	0	0	0.0	2.0	2.0
                                        	wswsws	3.0	3.0	2.0	0	0	0.0	2.0	0
                                        	wswwsw	0	3.0	2.0	0	0	1.0	4.0	1.0
                                        	wwswsw	0	3.0	2.0	0	0	1.0	4.0	1.0
                                        	wsswws	0	0	0	0	10.0	1.0	0	2.0
                                        	wsswsw	0	0	2.0	0	10.0	0.0	2.0	1.0
                                        	wsswss	0	0	2.0	0	20.0	0.0	0	2.0
and thought before i had done           	wswswsw	0	0	0	0	0	0.0	0	0
of a mocking tale or a gibe             	wwswswws	0	0	0	0	0	1.0	0	2.0
                                        	swswswws	0	0	2.0	0	0	1.0	0	1.0
                                        	swswswsw	0	0	4.0	0	0	0.0	2.0	0
                                        	wwswswsw	0	0	2.0	0	0	1.0	2.0	1.0
                                        	wwswwsww	0	0	2.0	1.0	0	0.0	4.0	3.0
                                        	swswswss	0	0	4.0	0	10.0	0.0	0	1.0
                                        	swswssws	0	0	4.0	0	10.0	0.0	0	1.0
to please a companion                   	wswwsw	0	0	0	0	0	1.0	0	1.0
                                        	swswsw	0	0	4.0	0	0	0.0	2.0	0
                                        	wswssw	3.0	0	2.0	0	10.0	0.0	0	1.0
                                        	wwswws	3.0	3.0	4.0	0	0	0.0	4.0	2.0
around the fire at the club             	swswws	0	0	0	0	0	1.0	0	1.0
                                        	swswsw	0	0	2.0	0	0	0.0	2.0	0
                                        	swwsww	0	0	0	1.0	0	0.0	4.0	2.0
                                        	swssws	0	0	0	0	10.0	0.0	0	1.0
being certain that they and i           	swswswsw	0	0	2.0	0	0	0.0	0	0
but lived where motley is worn          	wswswws	0	0	0	0	0	1.0	0	1.0
                                        	wswswsw	0	0	2.0	0	0	0.0	2.0	0
                                        	wswswss	0	0	2.0	0	10.0	0.0	0	1.0
all changed changed utterly             	wswsws	0	0	2.0	0	0	0.0	2.0	0
                                        	swwsww	0	0	0	1.0	0	0.0	2.0	2.0
                                        	wswsww	0	0	0	1.0	0	1.0	2.0	1.0
a terrible beauty is born               	wswwswws	0	0	0	0	0	1.0	0	2.0
                                        	wswwswsw	0	0	2.0	0	0	1.0	2.0	1.0
                                        	wswswsws	3.0	3.0	4.0	0	0	0.0	2.0	0
that woman's days were spent            	wswsws	0	0	0	0	0	0.0	0	0
in ignorant good will                   	wswwsw	0	0	0	0	0	1.0	0	1.0
                                        	wswsws	0	0	4.0	0	0	0.0	0	0
                                        	swswsw	3.0	3.0	2.0	0	0	0.0	2.0	0
                                        	wswssw	0	0	2.0	0	10.0	0.0	0	1.0
                                        	wswssw	0	0	2.0	0	10.0	0.0	0	1.0
her nights in argument                  	wswsws	0	0	2.0	0	0	0.0	0	0
                                        	wswsww	0	0	0	1.0	0	1.0	0	1.0
until her voice grew shrill             	wswsws	0	0	0	0	0	0.0	2.0	0
what voice more sweet than hers         	wswsws	0	0	2.0	0	0	0.0	0	0
                                        	wswsww	0	0	0	1.0	0	1.0	0	1.0
                                        	swwsww	0	0	0	1.0	0	0.0	2.0	2.0
when young and beautiful                	wswsws	0	0	2.0	0	0	0.0	0	0
                                        	wswsww	0	0	0	1.0	0	1.0	0	1.0
she rode to harriers                    	wswsws	0	0	2.0	0	0	0.0	0	0
                                        	wswsww	0	0	0	1.0	0	1.0	0	1.0
this man had kept a school              	wswsws	0	0	0	0	0	0.0	0	0
and rode our winged horse               	wswsw	0	0	0	0	0	0.0	2.0	0
                                        	wswss	0	0	0	0	10.0	0.0	0	1.0
this other his helper and friend        	wswwswws	0	0	0	0	0	1.0	0	2.0
                                        	wswwswsw	0	0	2.0	0	0	1.0	2.0	1.0
                                        	wswswsws	3.0	3.0	4.0	0	0	0.0	2.0	0
was coming into his force               	wswwsws	0	0	0	0	0	1.0	0	1.0
                                        	wswswws	0	0	0	0	0	1.0	0	1.0
                                        	wswswsw	0	0	2.0	0	0	0.0	2.0	0
                                        	wswswss	0	0	2.0	0	10.0	0.0	0	1.0
he might have won fame in the end       	wswswsws	0	0	0	0	0	0.0	2.0	0
                                        	wswsswws	0	0	0	0	10.0	1.0	0	2.0
                                        	wswsswss	0	0	2.0	0	20.0	0.0	0	2.0
so sensitive his nature seemed          	wswswsws	0	0	2.0	0	0	0.0	0	0
so daring and sweet his thought         	wswwsws	0	0	0	0	0	1.0	0	1.0
                                        	wswswsw	0	0	4.0	0	0	0.0	4.0	0
                                        	swswsws	3.0	3.0	4.0	0	0	0.0	2.0	0
                                        	wswswss	0	0	4.0	0	10.0	0.0	2.0	1.0
this other man i had dreamed            	wswswsw	0	0	0	0	0	0.0	2.0	0
                                        	wswswws	0	0	0	0	0	1.0	0	1.0
                                        	wswswss	0	0	0	0	10.0	0.0	0	1.0
a drunken vainglorious lout             	wswwswws	0	0	0	0	0	1.0	0	2.0
                                        	wswwswsw	0	0	2.0	0	0	1.0	2.0	1.0
                                        	swswswws	3.0	3.0	4.0	0	0	1.0	2.0	1.0
                                        	wswswsws	6.0	3.0	4.0	0	0	0.0	2.0	0
                                        	swswswsw	3.0	3.0	6.0	0	0	0.0	4.0	0
                                        	swswswss	3.0	3.0	6.0	0	10.0	0.0	2.0	1.0
he had done most bitter wrong           	wswwsws	0	0	0	0	0	1.0	0	1.0
                                        	swswsws	0	0	2.0	0	0	0.0	0	0
                                        	wwswsws	0	0	0	0	0	1.0	0	1.0
                                        	wwsswws	0	3.0	0	0	0	0.0	2.0	3.0
                                        	wsswsws	0	0	0	0	10.0	0.0	0	1.0
                                        	wswssws	0	0	0	0	10.0	0.0	0	1.0
to some who are near my heart           	wswwsws	0	0	0	0	0	1.0	0	1.0
                                        	swswsws	0	0	2.0	0	0	0.0	0	0
                                        	wwswsws	0	0	0	0	0	1.0	0	1.0
                                        	wsswsws	0	0	0	0	10.0	0.0	0	1.0
yet i number him in the song            	swswwsws	0	0	0	0	0	1.0	0	1.0
                                        	swswswsw	0	0	4.0	0	0	0.0	2.0	0
                                        	wwswwsww	0	0	0	1.0	0	0.0	2.0	3.0
                                        	swswswss	0	0	4.0	0	10.0	0.0	0	1.0
he too has resigned his part            	wswwsws	0	0	0	0	0	1.0	0	1.0
                                        	swswsws	0	0	2.0	0	0	0.0	2.0	0
                                        	wsswsws	0	0	0	0	10.0	0.0	0	1.0
                                        	wwswwss	0	3.0	2.0	0	0	0.0	4.0	3.0
in the casual comedy                    	swswsws	0	0	2.0	0	0	0.0	0	0
                                        	swswsww	0	0	0	1.0	0	1.0	0	1.0
                                        	wwswwsww	0	0	0	1.0	0	0.0	0	3.0
he too has been changed in his turn     	wswswsws	0	0	0	0	0	0.0	2.0	0
                                        	wswwssws	0	0	0	0	0	1.0	0	2.0
                                        	wswwswws	0	0	0	0	0	1.0	0	2.0
                                        	wsswssws	0	0	0	0	20.0	0.0	0	2.0
transformed utterly                     	wwsww	0	3.0	0	1.0	0	0.0	2.0	2.0
                                        	wswws	0	3.0	2.0	0	0	1.0	2.0	1.0
                                        	wwsws	0	3.0	2.0	0	0	1.0	2.0	1.0
                                        	wswsw	3.0	3.0	2.0	0	0	0.0	2.0	0
                                        	wssws	0	0	2.0	0	10.0	0.0	0	1.0
                                        	wssww	0	0	0	1.0	10.0	1.0	0	2.0
a terrible beauty is born               	wswwswws	0	0	0	0	0	1.0	0	2.0
                                        	wswwswsw	0	0	2.0	0	0	1.0	2.0	1.0
                                        	wswswsws	3.0	3.0	4.0	0	0	0.0	2.0	0
hearts with one purpose alone           	swwswws	0	0	0	0	0	0.0	0	2.0
                                        	wswswws	0	0	2.0	0	0	1.0	2.0	1.0
                                        	swswsws	3.0	3.0	4.0	0	0	0.0	2.0	0
                                        	swwswsw	3.0	3.0	2.0	0	0	1.0	2.0	1.0
                                        	wswswss	3.0	0	4.0	0	10.0	0.0	2.0	1.0
                                        	wswssws	3.0	0	4.0	0	10.0	0.0	2.0	1.0
through summer and winter seem          	wswwsws	0	0	0	0	0	1.0	0	1.0
                                        	swswsws	3.0	3.0	4.0	0	0	0.0	2.0	0
enchanted to a stone                    	wswsws	0	0	2.0	0	0	0.0	0	0
to trouble the living stream            	wswwsws	0	0	0	0	0	1.0	0	1.0
                                        	swswsws	3.0	3.0	4.0	0	0	0.0	2.0	0
the horse that comes from the road      	wswswws	0	0	0	0	0	1.0	0	1.0
                                        	wswswsw	0	0	2.0	0	0	0.0	2.0	0
                                        	wswswss	0	0	2.0	0	10.0	0.0	0	1.0
                                        	wswssws	0	0	2.0	0	10.0	0.0	0	1.0
the rider the birds that range          	wswwsws	0	0	0	0	0	1.0	0	1.0
                                        	wswswsw	0	0	2.0	0	0	0.0	4.0	0
                                        	swswsws	3.0	3.0	4.0	0	0	0.0	2.0	0
                                        	wswswss	0	0	2.0	0	10.0	0.0	2.0	1.0
from cloud to tumbling cloud            	wswsws	0	0	0	0	0	0.0	0	0
minute by minute they change            	swwswws	0	0	0	0	0	0.0	0	2.0
                                        	swswsws	0	0	2.0	0	0	0.0	0	0
                                        	wswswws	0	0	0	0	0	1.0	0	1.0
