text_line	strength.s=>-u	strength.w=>-p	stress.s=>-u	stress.w=>-p
en.yeats.early_line000154_he|MUSED|up|ON|his|MOC|kers.wit|HOUT|fail	0	0	0	1
en.yeats.early_line000023_then|NOW|ise|WOR|ship|DUS|ty|DEEDS	0	0	0	0
en.yeats.early_line000133_BUT|when|A|man.poured|FISH|in|TO|a|PILE	0	0	0	1
en.yeats.early_line000220_WHEN|i|PLAY|on.my|FI|ddle.in|DOONEY	0	0	0	0
en.yeats.early_line000262_up|ON|a|GAU|dy|BED	0	0	0	0
en.yeats.early_line000175_WHY|should.those|LOV|ers|THAT|no|LOV|ers|MISS	0	0	0	1
en.yeats.early_line000216_the|BAN|ners.of|EAST|and|WEST	0	0	0	0
en.yeats.early_line000052_his|SHO|uting|DAYS|with|MIRTH|were|CROWNED	0	0	0	0
en.yeats.early_line000120_had|BLO|tted|OUT|man's|IM|age|AND|his|CRY	0	0	1	1
en.yeats.early_line000022_TRO|ubling.the|END|less|RE|ve.rie	0	0	0	0
en.yeats.early_line000094_and|WH|is.pering|IN|their|EARS	0	0	0	0
en.yeats.early_line000112_I{|for.be|COMES|the|HUM|an|CHILD	0	0	0	1
en.yeats.early_line000188_the.dew-cold|LIL|ies|LAD|ies|BORE	0	0	0	1
en.yeats.early_line000110_or|SEE|the|BROWN|mice|BOB	0	0	0	1
en.yeats.early_line000115_FROM|a|WORLD|more|FULL|of|WEE|ping|THAN|you.can	0	0	0	0
en.yeats.early_line000213_un|TIL|the|AX|le|BREAK	0	0	0	0
en.yeats.early_line000158_SANG|where	0	0	0	0
en.yeats.early_line000162_or|STOR|my|SIL|ver|FRET|the|GOLD|of|DAY	0	0	0	0
en.yeats.early_line000043_TILL|they.shall|SI|nging|FADE|in|RUTH	0	0	0	0
en.yeats.early_line000265_IT|had.such|DI|gn|ITY|of|LIMB	0	0	2	0
en.yeats.early_line000057_BUT|ah.she|DREAMS|not.now|DREAM|thou	0	0	0	1
en.yeats.early_line000129_he|STOOD|am|ONG|a|CROWD|at|DR|om.ahair	0	0	0	0
en.yeats.early_line000178_WHEN|my|ARMS|wrap.you|ROUND|i|PRESS	0	0	0	1
en.yeats.early_line000119_and|ALL|that|FAM|ous|HA|rm|ONY|of|LEAVES	0	0	1	0
en.yeats.early_line000173_THAT|from.those|FIN|gers|GL|it.tering|SU|mmer|RUNS	0	0	0	0
en.yeats.early_line000238_WITH	0	0	0	0
en.yeats.early_line000150_THAT|if.a|DAN|cer|STAYED|his|HUN|gry|FOOT	0	0	0	0
en.yeats.early_line000060_where|DIPS|the|RO|cky|HIG|hland	0	0	0	0
en.yeats.early_line000073_WHERE|the|WAVE|of|MOON|light|GLO|sses	0	1	0	1
en.yeats.early_line000066_FULL|of|BER|ries	0	0	0	0
en.yeats.early_line000141_he|WAN|dered|BY|the|SANDS|of|LI|ss.adell	0	0	0	0
en.yeats.early_line000241_I|have|HEARD|the|PIG|eons|OF|the|SE|ven|WOODS	0	0	1	0
en.yeats.early_line000018_the|KINGS|of.the|OLD|time.are|DEAD	0	0	0	1
en.yeats.early_line000152_and|AT|that|SI|nging|HE|was|NO|more|WISE	0	0	1	0
en.yeats.early_line000147_SANG|that.som|EWHERE|to|NORTH|or|WEST|or|SOUTH	0	1	0	1
en.yeats.early_line000171_proc|LAIM|with|THAT|un|WE|aried|REE|dy|CRY	0	0	0	0
en.yeats.early_line000088_UND|ers|TAND	0	0	0	0
en.yeats.early_line000144_bef|ORE|they|HEAPED|his.grave|UN|der.the|HILL	0	0	0	1
en.yeats.early_line000260_THERE|was.no|MOT|her's|SON|but|SAID	0	0	1	1
en.yeats.early_line000047_I|must.be|GONE|there.is|A|grave	0	0	0	1
en.yeats.early_line000105_the|SO|le|MN-EYED	0	0	0	0
en.yeats.early_line000231_but|CALL|me|FIRST|through.the|GATE	0	0	0	0
en.yeats.early_line000045_for|WORDS|al|ONE|are|CER|tain|GOOD	0	0	0	0
en.yeats.early_line000071_FOR|the|WORLD'S|more|FULL|of|WEE|ping|THAN|you.can	0	0	0	0
en.yeats.early_line000059_DREAM|dream.for|THIS|is|ALS|o|SOOTH	0	0	0	1
en.yeats.early_line000209_MAS|ter|OF|the|STILL|stars|AND|of.the|FLA|ming|DOOR	0	0	2	1
en.yeats.early_line000082_while.the|WORLD|is|FULL|of|TRO|ubles	0	0	0	0
en.yeats.early_line000140_the|SI|nging|SHOOK|him|OUT|of.his|NEW|ease	0	0	0	1
en.yeats.early_line000035_has|CLO|ven.and|RENT|their|HEARTS|in|TWAIN	0	0	0	0
en.yeats.early_line000051_with|MIR|thful|SONGS|bef|ORE|the|DAWN	0	0	0	0
en.yeats.early_line000164_and|LO|ver|THERE|by|LO|ver.be|AT|peace	0	0	1	1
en.yeats.early_line000239_HERE|is.the|FID|dler.of|DOONEY	0	0	0	0
en.yeats.early_line000214_that|KEEPS|the|STARS|in.their|ROUND	0	0	0	0
en.yeats.early_line000050_BUR|ied|UN|der.the|SLE|epy|GROUND	0	0	0	0
en.yeats.early_line000041_RE|wo.rding|IN|me|LO|di.ous|GUILE	0	0	0	0
en.yeats.early_line000136_up|ON|a|WOV|en|WOR|ld-|FOR|gotten|ISLE	0	0	0	0
en.yeats.early_line000019_the|WA|nd.ering|EARTH|her|SELF|may.be	0	0	0	0
en.yeats.early_line000075_FAR|off.by|FUR|thest|RO|sses	0	0	0	0
en.yeats.early_line000016_BY|the|ST|am.mering|SCHO|olboy|SAID	0	1	0	1
en.yeats.early_line000184_by|DRE|aming|LAD|ies.up|ON|cloth	0	0	0	1
en.yeats.early_line000201_BROOD|her.high|LON|ely|MYS|ter.ies	0	0	0	1
en.yeats.early_line000054_WAL|king|GHOS|tly|IN|the|DEW	0	0	0	0
en.yeats.early_line000210_i|WAN|der|BY|the|EDGE	0	0	0	0
en.yeats.early_line000197_for|HO|urs|WHEN|all.must|FADE|like|DEW	0	0	0	0
en.yeats.early_line000017_RE|ading|SOME|ent|ANG|led|STO|ry	0	0	0	0
en.yeats.early_line000263_and|AF|ter|RU|nning|AT|the|BRIM	0	0	0	0
en.yeats.early_line000191_that|ONL|y|GOD'S|eyes|DID|not|CLOSE	0	0	0	2
en.yeats.early_line000084_I{|come.aw|AY|o|HUM|an|CHILD	0	0	0	1
en.yeats.early_line000151_it|SEEMED|the|SUN|and|MOON|were|IN|the|FRUIT	0	0	0	0
en.yeats.early_line000253_WHO|but.awa|ITS|his|HOUR|to|SHOOT|still|HANGS	0	0	0	1
en.yeats.early_line000207_the|GREY|cairn|ON|the|HILL|when|DAY|sinks|DROWNED|in|DEW	0	0	0	2
en.yeats.early_line000046_SING|then|FOR|this.is|ALS|o|SOOTH	0	0	0	0
en.yeats.early_line000161_WH|at.ever|RAV|elled|WAT|ers|RISE|and|FALL	0	1	0	1
en.yeats.early_line000031_the|WHI|rling|WAYS|of|STARS|that|PASS	0	0	0	0
en.yeats.early_line000002_and|OV|er|IS|their.ant|IQUE|joy	0	0	1	1
en.yeats.early_line000142_his|MIND|ran|ALL|on|MO|ney|CARES|and|FEARS	0	0	0	1
en.yeats.early_line000202_the|DEWS|drop|SLO|wly|AND|dreams|GA|ther.unk|NOWN|spears	0	0	1	3
en.yeats.early_line000053_and|STILL|i|DREAM|he|TREADS|the|LAWN	0	0	0	0
en.yeats.early_line000252_am.ong|PIG|eons.and|BEES|while|THAT|great|AR|cher	0	1	0	2
en.yeats.early_line000205_OF|unk.nown|PE|ri.shing|ARM|ies|BEAT|ab|OUT|my|EARS	0	1	1	1
en.yeats.early_line000092_that|SCARCE|could|BATHE|a|STAR	0	0	0	0
en.yeats.early_line000062_there|LIES|a|LEA|fy|ISL|and	0	0	0	0
en.yeats.early_line000227_i|BOUGHT|at.the|SLI|go|FAIR	0	0	0	0
en.yeats.early_line000090_FROM|the|HILLS|ab|OVE|gle|N-CAR	0	0	0	1
en.yeats.early_line000118_the|BRIL|liant|MOON|and|ALL|the|MIL|ky|SKY	0	0	0	0
en.yeats.early_line000200_their|SWORDS|up|ON|their|IR|on|KNEES	0	0	0	0
en.yeats.early_line000029_no|LEA|rning|FROM|the|STA|rry|MEN	0	0	0	1
en.yeats.early_line000074_the|DIM|grey|SANDS|with|LIGHT	0	0	0	1
en.yeats.early_line000012_WORD|be|-M|ockers	0	0	0	1
en.yeats.early_line000072_UND|ers|TAND	0	0	0	0
en.yeats.early_line000169_NOW|that.the|EARTH|had|TAK|en|MAN|and|ALL	0	0	0	0
en.yeats.early_line000104_aw|AY|with|US|he's|GO|ing	0	0	1	0
en.yeats.early_line000123_DOOMED|like.od|YS|se|US|and.the|LA|bo.uring|SHIPS	0	0	1	0
en.yeats.early_line000234_and.the|ME|rry|LOVE|the|FI|ddle	0	0	0	0
en.yeats.early_line000218_your|BREAST|will.not|LIE|by.the|BREAST	0	0	0	1
en.yeats.early_line000039_AND|to.its|LIPS|thy|STO|ry|TELL	0	0	1	0
en.yeats.early_line000143_AND|he.had|KNOWN|at|LAST|some|PRUD|ent|YEARS	0	0	1	0
en.yeats.early_line000233_SAVE|by.an|EV|il|CHANCE	0	0	0	0
en.yeats.early_line000132_bef|ORE|earth|TOOK|him|TO|her|STO|ny|CARE	0	0	1	1
en.yeats.early_line000020_ONL|y.a|SU|dden|FLA|ming|WORD	0	0	0	0
en.yeats.early_line000259_and.though|I|would.have|HUSHED|the|CROWD	0	0	0	0
en.yeats.early_line000272_NAM|ing.it|WITH|ec|ST|atic|BREATH	0	0	0	0
en.yeats.early_line000159_un|NE|ce|SS|ary|CRU|el|VOICE	0	0	0	0
en.yeats.early_line000087_FOR|the|WORLD'S|more|FULL|of|WEE|ping|THAN|you.can	0	0	0	0
en.yeats.early_line000269_and|RU|nning|CROWD|and|GAU|dy|SHIP	0	0	0	0
en.yeats.early_line000251_WAN|ders|LA|ughing.and|EA|ting.her|WILD|heart	0	0	0	1
en.yeats.early_line000225_they|READ|in.their|BOOKS|of|PRAYER	0	0	0	0
en.yeats.early_line000116_UND|ers|TAND	0	0	0	0
en.yeats.early_line000010_WORDS|al|ONE|are|CER|tain|GOOD	0	0	0	0
en.yeats.early_line000056_my|SONGS|of|OLD|earth's|DRE|amy|YOUTH	0	0	0	1
en.yeats.early_line000033_NO|word.of|THEIRS	0	0	0	1
en.yeats.early_line000174_up|ON|the|DAN|cer|BY|the|DRE|amless|WAVE	0	0	0	0
en.yeats.early_line000109_SING|peace.in|TO|his|BREAST	0	0	0	1
en.yeats.early_line000032_SEEK|then|FOR|this.is|ALS|o|SOOTH	0	0	0	0
en.yeats.early_line000181_the|JEWELLED|crowns.that|KINGS|have|HURLED	0	0	0	1
en.yeats.early_line000015_an|ID|le|WORD|is|NOW|their|GLO|ry	0	0	0	0
en.yeats.early_line000024_nor|SEEK|for|THIS|is|ALS|o|SOOTH	0	0	0	0
en.yeats.early_line000183_the|LOVE|-tales|WROUGHT|with|SIL|ken|THREAD	0	0	0	1
en.yeats.early_line000192_FOR|that.pale|BREAST|and|LI|ng.ering|HAND	0	0	0	1
en.yeats.early_line000040_AND|they.thy|COM|for.ters|WILL|be	0	0	1	0
en.yeats.early_line000250_I|am.con|TEN|ted|FOR|i|KNOW|that|QUI|et	0	0	0	0
en.yeats.early_line000249_bec|AUSE|it|IS|al|ONE|of|ALL|things|HA|ppy	0	0	1	1
en.yeats.early_line000079_TILL|the|MOON|has|TAK|en|FLIGHT	0	0	0	0
en.yeats.early_line000257_and|SAW|wh|ER|ever|I|could|TURN	0	0	0	0
en.yeats.early_line000096_LEA|ning|SOFT|ly|OUT	0	0	0	0
en.yeats.early_line000145_BUT|while.he|PASSED|bef|ORE|a|PL|ashy|PLACE	0	0	0	0
en.yeats.early_line000179_my|HEART|up|ON|the|LOV|eli.ness	0	0	0	0
en.yeats.early_line000256_the.but|T-END|of.a|ST|ee|RING-OAR	0	0	0	1
en.yeats.early_line000044_and|DIE|a|PEA|rly|BRO|the|RHOOD	0	0	0	0
en.yeats.early_line000081_and|CHASE|the|FRO|thy|BUB|bles	0	0	0	0
en.yeats.early_line000168_UN|der.that|COLD|and.vapo|UR-T|urbaned|STEEP	0	0	0	1
en.yeats.early_line000003_of|OLD|the|WORLD|on|DRE|aming|FED	0	0	0	0
en.yeats.early_line000036_and|DEAD|is|ALL|their|HUM|an|TRUTH	0	0	0	0
en.yeats.early_line000157_BUT|one|SMALL|kno.t-grass|GRO|wing|BY|the|POOL	0	0	0	1
en.yeats.early_line000048_where|DA|ff|ODIL|and|LI|ly|WAVE	0	0	0	0
en.yeats.early_line000244_the|UN|av|AI|ling|OUTC|ries|AND|the.old|BI|tt.erness	0	1	1	2
en.yeats.early_line000097_from|FERNS|that|DROP|their|TEARS	0	0	0	0
en.yeats.early_line000146_A|lug.-worm|WITH|its|GREY|and|MU|ddy|MOUTH	0	0	0	1
en.yeats.early_line000114_WITH|a|FA|ery|HAND|in|HAND	0	0	0	0
en.yeats.early_line000180_THAT|has.long|FAD|ed|FROM|the|WORLD	0	0	0	1
en.yeats.early_line000061_of|SLEUTH|wood|IN|the|LAKE	0	0	0	0
en.yeats.early_line000131_AND|he.had|KNOWN|at|LAST|some|TEN|der.ness	0	0	1	0
en.yeats.early_line000067_and.of|RED|dest|STO|len|CHE|rries	0	0	0	0
en.yeats.early_line000027_NEW|dreams.new|DREAMS|there.is|NO|truth	0	0	0	2
en.yeats.early_line000098_OV|er.the|YOUNG|streams	0	0	0	1
en.yeats.early_line000224_i|PASSED|my|BRO|ther.and|CO|usin	0	0	0	0
en.yeats.early_line000235_and.the|ME|rry|LOVE|to|DANCE	0	0	0	0
en.yeats.early_line000190_WHERE|such.grey|CLOUDS|of.inc|ENSE|rose	0	0	0	2
en.yeats.early_line000042_thy|FRE|tful|WORDS|a|LI|ttle.while	0	0	0	0
en.yeats.early_line000086_WITH|a|FA|ery|HAND|in|HAND	0	0	0	0
en.yeats.early_line000026_lest|ALL|thy|TOI|ling|ONL|y|BREEDS	0	0	0	0
en.yeats.early_line000196_I|hear.white|BEA|uty|SI|ghing.too	0	0	0	1
en.yeats.early_line000106_HE'LL|hear.no|MORE|the|LO|wing	0	0	0	1
en.yeats.early_line000077_WEA|ving|OLD|en|DAN|ces	0	0	0	0
en.yeats.early_line000217_and.the|GIR|dle.of|LIGHT|is.unb|OUND	0	0	0	0
en.yeats.early_line000236_and|WHEN|the|FOLK|there|SPY|me	0	0	0	0
en.yeats.early_line000203_SU|dd.enly|HUR|tle.bef|ORE|my|DRE|am-|AWA|kened|EYES	0	0	0	0
en.yeats.early_line000128_could|BUT|com|POSE|man's|IM|age|AND|his|CRY	0	0	1	1
en.yeats.early_line000172_that|GOD|has|LAID|his|FIN|gers|ON|the|SKY	0	0	0	0
en.yeats.early_line000268_WHAT|could|I|but|TAKE|up.the|SONG	0	0	0	0
en.yeats.early_line000228_WHEN|we|COME|at.the|END|of|TIME	0	0	0	0
