"syll","perf","perfword","allow","allowword"
"ait","ate, ait","bate, date, fate, gate, grate, hate, late, mate, pate, plate, prate, rate, sate, state, scate, slate, abate, belate, collate, create, debate, elate, dilate, estate, ingrate, innate, rebate, relate, sedate, translate, abdicate, abominate, abrogate, accelerate, accommodate, accumulate, accurate, adequate, affectionate, advocate, adulterate, aggravate, agitate, alienate, animate, annihilate, antedate, anticipate, antiquate, arbitrate, arrogate, articulate, assassinate, calculate, capitulate, captivate, celebrate, circulate, coagulate, commemorate, commisserate, communicate, compassionate, confederate, congratulate, congregate, consecrate, contaminate, corroborate, cultivate, candidate, cooperate, celibate, considerate, consulate, capacitate, debilitate, dedicate, degenerate, delegate, deliberate, denominate, depopulate, dislocate, deprecate, discriminate, derogate, dissipate, delicate, disconsolate, desolate, desperate, educate, effeminate, elevate, emulate, estimate, elaborate, equivocate, eradicate, evaporate, exaggerate, exasperate, expostulate, exterminate, extricate, facilitate, fortunate, generate, gratulate, hesitate, illiterate, illuminate, irritate, imitate, immoderate, impetrate, importunate, imprecate, inanimate, innovate, instigate, intemperate, intimate, intimidate, intoxicate, intricate, invalidate, inveterate, inviolate, legitimate, magistrate, meditate, mitigate, moderate, necessitate, nominate, obstinate, participate, passionate, penetrate, perpetrate, personate, potentate, precipitate, predestinate, predominate, premeditate, prevaricate, procrastinate, profligate, prognosticate, propagate, recriminate, regenerate, regulate, reiterate, reprobate, reverberate, ruminate, separate, sophisticate, stipulate, subjugate, subordinate, suffocate, terminate, tolerate, temperate, vindicate, violate, unfortunate, bait, plait, strait, wait, await, great","eight eat, at, et","eight, weight, height, streight, beat, heat, bat, cat, bet, wet"
"aith","ath","bath, path","aith","hath, faith"
"aize","aze, aise, ase, ays, eighs, eys","craze, daze, blaze, gaze, glaze, maze, raze, amaze, graze, raise, praise, dispraise, phrase, paraphrase, days, inveighs, obeys","ease, eize","ease, teaze, seize, keys, has, was"
"ake","ake, eak","ake, bake, cake, lake, make, quake, rake, sake, take, wake, brake, drake, flake, shake, snake, stake, strake, spake, awake, betake, forsake, mistake, partake, overtake, undertake, bespake, break, steak","ack, eck, eak","back, rack, beck, deck, speak, weak"
"al","al","cabal, canal, animal, admiral, cannibal, capital, cardinal, comical, conjugal, corporal, criminal, critical, festival, funeral, general, hospital, interval, liberal, madrigal, literal, magical, mineral, mystical, musical, natural, original, pastoral, pedestal, personal, physical, poetical, political, principal, prodigal, prophetical, rational, satirical, reciprocal, rhetorical, several, temporal, tragical, tyrranical, carnival, schismatical, whimsical, arsenal","all, ail, ale","all, ball, ail, mail, ale, pale"
"ald","ald, all'd, aul'd, awl'd, alled, auled, awled","bald, scald, emerald, call'd, maul'd, crawl'd",NA,NA
"ale","ail, ale","ail, bail, fail, hail, jail, mail, nail, pail, quail, rail, sail, tail, wail, flail, frail, snail, trail, assail, avail, detail, bewail, entail, prevail, retail, countervail, ale, bale, dale, gale, hale, male, pale, sale, tale, vale, wale, scale, shale, stale, swale, whale, impale, exhale, regale, veil, nightingale","eal, ell","peal, steal, bell, cell"
"alf","alf","calf, half, behalf","aff","staff, laugh"
"alk","alk, awk","balk, chalk, stalk, talk, walk, calk, hawk","ock","sock, clock"
"all","all, awl","all, ball, call, cawl, bawl, brawl, crawl, scrawl, sprawl, squawl","al","cabal, equivocal"
"alm","alm","calm, balm, becalm, psalm, palm, embalm",NA,NA
"alt","alt, ault","halt, malt, exalt, salt, vault, assault, default, fault","ought","thought, bought"
"alve","alve","calve, halve, salve, valve",NA,NA
"am","am, amn, amb","am, dam, ham, pam, ram, sam, cram, dram, flam, sham, swam, epigram, anagram, damn, lamb","ame","dame, lame"
"ame","ame, aim","blame, came, dame, same, flame, fame, frame, game, lame, name, same, tame, shame, inflame, became, defame, misname, misbecame, overcame, aim, claim, maim, acclaim, declaim, disclaim, exclaim, proclaim, reclaim","am, em, eme, eam","dam, ham, hem, them, theme, scheme, dream, gleam"
"amp","amp","camp, champ, cramp, damp, stamp, vamp, lamp, clamp, decamp, encamp",NA,NA
"an","an","ban, can, dan, fan, man, nan, pan, ran, tan, van, bran, clan, pan, scan, span, than, unman, foreran, began, trepan, courtesan, partisan, artisan, pelican, caravan","ane, ain, ean, an, on, one","bane, cane, plain, main, bean, lean, wan, swan, gone, upon"
"ance","ance","chance, dance, glance, lance, trance, prance, intrance, romance, advance, mischance, complaisance, circumstance, countenance, deliverance, consonance, dissonance, extravagance, ignorance, inheritance, maintenance, temperance, intemperance, exorbitance, ordinance, concordance, sufferance, sustenance, utterance, arrogance, vigilance, expanse, inhance",NA,NA
"anch","anch, aunch","branch, stanch, lanch, blanch, ranch, hanch, launch, paunch",NA,NA
"and","and","and, band, hand, land, rand, sand, brand, bland, grand, gland, stand, strand, command, demand, countermand, disband, expand, withstand, understand, reprimand, contraband","ond, ain'd, ean'd, ained, eaned","wand, fond, bond, remain'd, lean'd, remained, leaned"
"ane","ain, ane, aign, eign, ein","cain, blain, brain, chain, fain, gain, grain, lain, main, pain, rain, vain, wain, drain, plain, slain, Spain, stain, swain, train, twain, sprain, strain, abstain, amain, attain, complain, contain, constrain, detain, disdain, distrain, enchain, entertain, explain, maintain, ordain, pertain, obtain, refrain, regain, remain, restrain, retain, sustain, appertain, bane, cane, dane, crain, fane, jane, lane, mane, plane, vane, wane, profane, hurricane, daign, arraign, campaign, feign, reign, vein, rein","ean, een, an, en","lean, mean, queen, seen, ban, can, den, pen"
"ang","ang","ang, fang, gang, hang, pang, tang, twang, sang, rang, harangue, clang","ong","song, long"
"ange","ange","change, grange, range, strange, estrange, arrange, exchange, interchange","enge","revenge, avenge"
"ank","ank","rank, blank, shank, clank, dank, drank, slank, frank, spank, stank, lank, plank, prank, rank, thank, disrank, mountebank",NA,NA
"anse","ance","chance, dance, glance, lance, trance, prance, intrance, romance, advance, mischance, complaisance, circumstance, countenance, deliverance, consonance, dissonance, extravagance, ignorance, inheritance, maintenance, temperance, intemperance, exorbitance, ordinance, concordance, sufferance, sustenance, utterance, arrogance, vigilance, expanse, inhance",NA,NA
"ant","ant","ant, cant, chant, grant, pant, plant, rant, slant, aslant, complaisant, displant, enchant, gallant, implant, recant, supplant, transplant, absonant, adamant, arrogant, combatant, consonant, cormorant, protestant, significant, visitant, covenant, dissonant, disputant, elegant, elephant, exorbitant, conversant, extravagant, ignorant, insignificant, inhabitant, militant, predominant, sycophant, vigilant, petulant","aint","faint, paint"
"ap","ap","cap, gap, hap, lap, map, nap, pap, rap, sap, tap, chap, clap, trap, flap, knap, slap, map, wrap, scrap, strap, enwrap, entrap, mishap","ape, eap","cape, tape, cheap, heap, swap"
"ape","ape","ape, cape, chape, grape, rape, scape, scrape, shape, escape, nape, crape, tape","eap, eep","heap, keep"
"aph","aff, aph, augh","gaff, chaff, draff, graff, quaff, staff, engraff, epitaph, cenotaph, paragraph, laugh","afe","safe, chafe"
"apse","apse, aps","laps, elapse, relapse, perhaps, caps, maps, saps, laps","apes, eaps","apes, heaps"
"apt","apt, app'd, apped","apt, adapt, tapp'd, slapp'd, tapped, slapped","ap'd, aped","ap'd, escap'd"
"ar","ar","bar, car, far, jar, mar, par, tar, spar, scar, star, char, afar, debar, unbar, catarrh, particular, perpendicular, secular, angular, regular, popular, singular, titular, vinegar, scimetar, calendar, colander, are","are, air, ear","bare, prepare, pair, repair, wear, tear, war"
"arb","arb","barb, garb",NA,NA
"arce","arce, arse, ars","farce, parse, Mars","arce","scarce"
"arch","arch","arch, march, parch, starch, countermarch",NA,NA
"ard","ard, arr'd, arred","bard, card, guard, hard, lard, nard, shard, yard, bombard, discard, regard, interlard, retard, disregard, barr'd, scarr'd, barred, scarred","ord, ard","cord, reward"
"ard","ard","ward, award, reward","oard, ord, ird, urd, arr'd, orr'd, urr'd, arred, orred, urred","hard, card, hoard, lord, bird, curd, barr'd, abhorr'd, incurr'd, barred, abhorred, incurred"
"are","are, air, wear, ere, e'er, eir","bare, care, dare, fare, hare, mare, pare, rare, tare, ware, flare, glare, scare, share, snare, spare, square, stare, sware, prepare, aware, beware, compare, declare, ensnare, air, fair, hair, lair, pair, chair, stair, affair, debonnair, despair, impair, repair, bear, pear, swear, tear, wear, forbear, forswear, there, were, where, ere, e'er, ne'er, elsewhere, whate'er, howe'er, howsoe'er, whene'er, wheree'er, heir, coheir, their","ar, ere","bar, car, err, prefer, here, hear, regular, singular, war"
"ares","ares, eirs, eirs","unawares, theirs, cares, pairs, heirs, bears","ars, errs, ers","bars, cars, errs, prefers"
"arf","arf","scarf","arf","dwarf, wharf"
"arge","arge","barge, charge, large, targe, discharge, o'ercharge, surcharge, enlarge","erge, orge, urge","verge, emerge, gorge, forge, urge"
"ark","ark","bark, cark, clark, dark, lark, mark, park, shark, spark, stark, embark, remark","ork","cork, fork"
"arl","arl","snarl, marl, parl","url","curl, furl"
"arm","arm","arm, harm, charm, farm, harm, alarm, disarm","orm","warm, swarm, storm"
"arn","arn","barn, yarn","arn, orn","warn, forewarn, horn, morn"
"arp","arp","carp, harp, sharp, counterscarp","arp","warp"
"arsh","arsh","harsh, marsh",NA,NA
"art","art, eart","art, cart, dart, hart, mart, part, smart, tart, start, apart, depart,impart, dispart, counterpart, heart","urt, irt, ert","wart, thwart, hurt, dirt, flirt, pert, sport, court, short, retort"
"arth","earth, irth","earth, dearth, birth, mirth","earth","hearth"
"arve","arve","carve, starve","erve","nerve, deserve"
"as","as","was","as","has, as"
"ass","ass","ass, brass, class, grass, lass, mass, pass, alas, amass, cuirass, repass, surpass, morass","ase, ace, oss","base, face, deface, loss, toss"
"ase","ace, ase","ace, dace, pace, face, lace, mace, race, brace, chace, grace, place, space, trace, apace, deface, efface,  disgrace,  displace, misplace, embrace,  grimace, interlace, retrace, populace,  base, case, abase, debase","ass, eace, ease, ess","grass, glass, peace, cease, dress, less"
"ash","ash","ash, cash, dash, clash, crash, flash, gash, gnash, hash, lash, plash, rash, thrash, slash, trash, abash","eash","wash, quash, leash"
"ask","ask","ask, task, bask, cask, flask, mask",NA,NA
"asp","asp","asp, clasp, gasp, grasp, hasp","asp","wasp"
"ast","ast, ass'd, assed","cast, last, blast, mast, past, vast, fast, aghast,  avast, forecast, overcast, outcast, repast, class'd, amass'd, classed, amassed","ac'd, aced, aste","plac'd, taste, waste"
"aste","aste, aist, ac'd, aced","baste, chaste, haste, paste, taste, waste, distaste, waist, fac'd, plac'd","ast, est, ess'd, essed","cast, fast, best, nest, mess'd, dress'd, messed, dressed"
"at","at","at, bat, cat, hat, fat, mat, pat, rat, sat, tat, vat, brat, chat, flat, plat, sprat, that, gnat","ate","bate, late"
"atch","atch","catch, match, hatch, latch, patch, scratch, smatch, snatch, dispatch",NA,NA
"ate","ate, ait","bate, date, fate, gate, grate, hate, late, mate, pate, plate, prate, rate, sate, state, scate, slate, abate, belate, collate, create, debate, elate, dilate, estate, ingrate, innate, rebate, relate, sedate, translate, abdicate, abominate, abrogate, accelerate, accommodate, accumulate, accurate, adequate, affectionate, advocate, adulterate, aggravate, agitate, alienate, animate, annihilate, antedate, anticipate, antiquate, arbitrate, arrogate, articulate, assassinate, calculate, capitulate, captivate, celebrate, circulate, coagulate, commemorate, commisserate, communicate, compassionate, confederate, congratulate, congregate, consecrate, contaminate, corroborate, cultivate, candidate, cooperate, celibate, considerate, consulate, capacitate, debilitate, dedicate, degenerate, delegate, deliberate, denominate, depopulate, dislocate, deprecate, discriminate, derogate, dissipate, delicate, disconsolate, desolate, desperate, educate, effeminate, elevate, emulate, estimate, elaborate, equivocate, eradicate, evaporate, exaggerate, exasperate, expostulate, exterminate, extricate, facilitate, fortunate, generate, gratulate, hesitate, illiterate, illuminate, irritate, imitate, immoderate, impetrate, importunate, imprecate, inanimate, innovate, instigate, intemperate, intimate, intimidate, intoxicate, intricate, invalidate, inveterate, inviolate, legitimate, magistrate, meditate, mitigate, moderate, necessitate, nominate, obstinate, participate, passionate, penetrate, perpetrate, personate, potentate, precipitate, predestinate, predominate, premeditate, prevaricate, procrastinate, profligate, prognosticate, propagate, recriminate, regenerate, regulate, reiterate, reprobate, reverberate, ruminate, separate, sophisticate, stipulate, subjugate, subordinate, suffocate, terminate, tolerate, temperate, vindicate, violate, unfortunate, bait, plait, strait, wait, await, great","eight eat, at, et","eight, weight, height, streight, beat, heat, bat, cat, bet, wet"
"ath","ath","bath, path","aith","hath, faith"
"athe","athe","bathe, swathe, lathe, rathe",NA,NA
"aub","aub, ob","daub, fob, bob, mob, knob, sob, rob, throb, swab, squab","obe, ub","globe, robe, dub"
"auce","ause, aws","cause, pause, clause, applause, because, laws, draws",NA,"was"
"auch","oach","broach, coach, poach, abroach, approach, encroach, reproach, loach","otch, uch, utch","botch, notch, much, hutch"
"aud","aud, oad, awd, aw'd, awed","fraud, laud, applaud, defraud, broad, abroad, bawd, gnaw'd, saw'd, gnawed, sawed","odd, od, ode","odd, nod, ode, bode, load"
"ave","ave","cave, brave, gave, grave, crave, lave, nave, knave, pave, rave, save, shave, slave, stave, wave, behave, deprave, engrave, outbrave, forgave, misgave, architrave","ave","have"
"augh","aff, aph, augh","gaff, chaff, draff, graff, quaff, staff, engraff, epitaph, cenotaph, paragraph, laugh","afe","safe, chafe"
"aught","aught, ought","bought, thought, ought, brought, forethought, fought, nought, sought, wrought, besought, bethought, methought, aught, naught, caught, taught, draught","ot, ote, utt, ut, oot","not, yacht, note, vote, butt, hut, hoot, root"
"ault","alt, ault","halt, malt, exalt, salt, vault, assault, default, fault","ought","thought, bought"
"aunch","aunch, anch","launch, paunch, haunch, stanch, branch",NA,NA
"aunce","aunce, onse","sconse, ensconse","once","once, nonce, askaunce"
"aunt","aunt, ant","aunt, daunt, gaunt, haunt, jaunt, taunt, vaunt, avaunt, slant, aslant","ant","want, pant, cant"
"ause","ause, aws","cause, pause, clause, applause, because, laws, draws",NA,"was"
"aust","ost, oss'd, aust, ossed","cost, frost, lost, accost, moss'd, imboss'd, mossed, imbossed, exhaust, holocaust","ost, oast, ust, oos'd, oosed","ghost, host, post, compost, most, roast, boast, toast, bust, must, roost, loos'd, loosed"
"aw","aw","craw, daw, law, chaw, claw, draw, flaw, gnaw, jaw, haw, maw, paw, raw, saw, straw, thaw, withdraw, foresaw",NA,NA
"awd","aud, oad, awd, aw'd, awed","fraud, laud, applaud, defraud, broad, abroad, bawd, gnaw'd, saw'd, gnawed, sawed","odd, od, ode","odd, nod, ode, bode, load"
"awk","alk, awk","balk, chalk, stalk, talk, walk, calk, hawk","ock","sock, clock"
"awl","awl, all","bawl, brawl, drawl, crawl, scrawl, sprawl, squawl, hall, call, fall, gall, small, hall, pall, tall, wall, stall, install, forestall, thrall, inthrall",NA,NA
"awn","awn","dawn, brawn, fawn, pawn, spawn, drawn, yawn, lawn, withdrawn",NA,NA
"ax","ax, acks","ax, tax, wax, relax, flax, backs, sacks, lacks, packs","akes","cakes, lakes, makes, takes"
"ay","ay, eigh, ey","bray, clay, day, dray, tray, flay, fray, gay, hay, jay, lay, may, nay, pay, play, ray, say, way, pray, spray, slay, spay, stay, stray, sway, affray, allay, array, astray, away, belay, bewray, betray, decay, defray, delay, disarray, display, dismay, essay, forelay, gainsay, inlay, relay, repay, roundelay, virelay, neigh, weigh, inveigh, prey, they, convey, obey, purvey, survey, disobey, grey","ea, ee","tea, sea, fee, see, glee"
"aze","aze, aise, ase, ays, eighs, eys","craze, daze, blaze, gaze, glaze, maze, raze, amaze, graze, raise, praise, dispraise, phrase, paraphrase, days, inveighs, obeys","ease, eize","ease, teaze, seize, keys, has, was"
"e","e, ee, ea","bee, free, glee, knee, see, three, thee, tree, agree, decree, degree, disagree, foresee, o'ersee, pedigree, he, me, we, she, be, jubilee, lee, sea, plea, flea, tea, key","y, ye, ie","liberty, energy, they"
"ea","e, ee, ea","bee, free, glee, knee, see, three, thee, tree, agree, decree, degree, disagree, foresee, o'ersee, pedigree, he, me, we, she, be, jubilee, lee, sea, plea, flea, tea, key","y, ye, ie","liberty, energy, they"
"eace","ease, eace, iece, eese","cease, lease, release, grease, decease, decrease, encrease, release, surcease, peace, piece, niece, fleece, geese, frontispiece, apiece","ess, ice, iss","less, mess, lace, mace, miss, kiss, nice, vice"
"each","each, eech","beach, breach, bleach, each, peach, preach, teach, impeach, beech, leech, speech, beseech","etch","fetch, wretch"
"ead","ede, eed, ead","creed, deed, indeed, bleed, breed, feed, heed, meed, need, reed, speed, seed, steed, weed, proceed, succeed, exceed, knead, read, intercede, precede, recede, concede, impede, supercede, bead, lead, mead, plead","ed,id, ade","bed, dead, bid, hid, made, blade"
"ead","eed, ede, ead","creed, deed, indeed, bleed, breed, feed, heed, meed, need, reed, speed, seed, steed, weed, proceed, succeed, exceed, knead, read, intercede, precede, recede, concede, impede, supercede, bead, lead, mead, plead","ed,id, ade","bed, dead, bid, hid, made, blade"
"eaf","ief, eef, eaf","grief, chief, fief, thief, brief, belief, relief, reef, beef, leaf, sheaf",NA,NA
"eague","eague, igue","league, teague, intrigue, fatigue","ague, eg, ag","Hague, vague, leg, beg, bag, rag"
"eak","eak, eek, iek, ique","bleak, speak, bleak, creak, freak, leak, peak, sneak, squeak, streak, weak, tweak, wreak, bespeak, cheek, leek, creek, meek, reek, seek, sleek, pique, week, shriek","eck, ake, ick","beck, speck, lake, take, thick, lick"
"eal","eal, eel","deal, heal, reveal, meal, peal, seal, steal, teal, veal, weal, zeal, squeal, repeal, conceal, congeal, repeal, anneal, appeal, eel, heel, feel, heel, kneel, peel, reel, steel, wheel","ell, ale, ill, ail","bell, tell, bale, tale, bill, fill, ail, fail"
"ealm","alm","calm, balm, becalm, psalm, palm, embalm",NA,NA
"ealth","ealth","health, wealth, stealth, commonwealth",NA,NA
"eam","eam, eme, eem","bream, cream, gleam, team, scream, steam, stream, team, beam, dream, phlegm, scheme, theme, blaspheme, extreme, supreme, deem, teem, beseem, misdeem, esteem, disesteem, redeem, seem","ame, imb, im, em, amb, am","dame, lame, limb, him, them, hem, lamb, dam"
"ean","ean, ene, een","bean, clean, dean, glean, lean, mean, wean, yean, demean, unclean, convene, demesne, intervene, mien, machine, keen, skreen, seen, green, spleen, between, careen, foreseen, serene, obscene, terrene, queen, spleen","ane, an, in","bane, mane, ban, man, bin, thin, begin"
"eans","ense, ens","cleanse, hens, fens, pens, kens",NA,NA
"eant","ent","sent, lent, rent, pent, scent, sent, shent, spent, tent, vent, went, absent, meant, ascent, assent, attent, augment, cement, content, consent, descent, dissent, event, extent, foment, frequent, indent, intent, invent, lament, mispent, overspent, present, prevent, relent, repent, resent, ostent, ferment, outwent, underwent, discontent, unbent, circumvent, represent, abstinent, accident, accomplishment, admonishment, acknowledgment, aliment, arbitrement, argument, banishment, battlement, blandishment, astonishment, armipotent, bellipotent, benevolent, chastisement, competent, compliment, complement, confident, continent, corpulent, detriment, different, diffident, diligent, disparagement, document, element, eloquent, eminent, equivalent, establishment, evident, excellent, excrement, exigent, experiment, firmament, fraudulent, government, embellishment, imminent, impenitent, impertinent, implement, impotent, imprisonment, improvident, impudent, incident, incompetent, incontinent, indifferent, indigent, innocent, insolent, instrument, irreverent, languishment, ligament, lineament, magnificent, management, medicament, malecontent, monument, negligent, nourishment, nutriment, accident, omnipotent, opulent, ornament, parliament, penitent, permanent, pertinent, president, precedent, prevalent, provident, punishment, ravishment, regiment, resident, redolent, rudiment, sacrament, sediment, sentiment, settlement, subsequent, supplement, intelligent, tenement, temperament, testament, tournament, turbulent, vehement, violent, virulent, reverent","aint","paint, saint"
"eap","eep, eap","creep, deep, sleep, keep, peep, sheep, steep, sweep, weep, asleep, cheap, heap, neap","ape, ep, ip","ape, rape, step, nep, hip, lip"
"ear","eer, ere, ear","beer, deer, fleer, geer, jeer, peer, meer, leer, sheer, steer, sneer, cheer, veer, pickeer, domineer, cannoneer, compeer, engineer, mutineer, pioneer, privateer, charioteer, chanticleer, career, mountaineer, here, sphere, adhere, cohere, interfere, persevere, revere, austere, severe, sincere, hemisphere, ear, clear, dear, fear, hear, near, sear, smear, spear, tear, rear, year, appear, besmear, disappear, endear, auctioneer","are, er","bare, dare, prefer, deter, character"
"eard","eard, erd, err'd, erred","heard, herd, sherd, err'd, preferr'd","er'd, ear'd, arr'd, ered, eared, arred","beard, rever'd, fear'd, barr'd"
"earch","earch, erch","search, perch, research","urch, irch, arch","church, smirch, lurch, parch, march"
"earl","earl, irl","earl, pearl, girl","arl, url","snarl, marl, churl, furl"
"earn","ern, earn","fern, stern, discern, concern, learn, earn, yearn","arn, urn","yarn, barn, burn, turn"
"earse","erse, erce, ierce","verse, herse, absterse, adverse, averse, converse, disperse, immerse, perverse, reverse, traverse, asperse, intersperse, universe, amerce, coerce, fierce, tierce, pierce","arce, urse","farce, parce, Mars, purse, curse"
