Line Scheme	Meter Scheme	PoemID	Poet	Title	Year	line	line_num	parse	parse_human2
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	I start at the sound of my own.	(12, 2)	wswwswws	ws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	The beasts that roam over the plain	(13, 2)	wswwswws	ws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	My form with indifference see,	(14, 2)	wswwswws	ws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	They are so unacquainted with man,	(15, 2)	wwswwswws	wws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	Their tameness is shocking to me.	(16, 2)	wswwswws	wws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	Society, friendship, and love,	(17, 3)	swwswws	ws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	Divinely bestow'd upon man,	(18, 3)	wswwswws	ws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	Oh had I the wings of a dove,	(19, 3)	wswwswws	ws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	How soon would I taste you again!	(20, 3)	wswwswws	ws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	My sorrows I then might assuage	(21, 3)	wswwswws	ws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	In the ways of religion and truth,	(22, 3)	wwswwswws	wws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	Might learn from the wisdom of age,	(23, 3)	wswwswws	ws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	And be cheer'd by the sallies of youth.	(24, 3)	wwswwswws	wws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	Religion! what treasure untold	(25, 4)	wswwswws	ws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	Resides in that heavenly word!	(26, 4)	wswwswws	ws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	More precious than silver and gold,	(27, 4)	wswwswws	ws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	Or all that this earth can afford.	(28, 4)	wswwswws	ws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	But the sound of the church-going bell	(29, 4)	wwswwswws	wws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	These valleys and rocks never heard,	(30, 4)	wswwswws	ws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	Ne'er sigh'd at the sound of a knell,	(31, 4)	wswwswws	ws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	Or smiled when a sabbath appear'd.	(32, 4)	wswwswws	ws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	Ye winds that have made me your sport,	(33, 5)	wswwswws	ws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	Convey to this desolate shore	(34, 5)	wswwswws	ws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	Some cordial endearing report	(35, 5)	wswwswws	ws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	Of a land I shall visit no more!	(36, 5)	wwswwswws	wws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	My friends, do they now and then send	(37, 5)	wswwswws	ws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	A wish or a thought after me?	(38, 5)	wswwswws	ws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	Oh tell me I yet have a friend,	(39, 5)	wswwswws	ws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	Though a friend I am never to see.	(40, 5)	wwswwswws	wws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	How fleet is a glance of the mind!	(41, 6)	wswwswws	ws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	Compared with the speed of its flight,	(42, 6)	wswwswws	ws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	The tempest itself lags behind,	(43, 6)	wswwswws	ws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	And the swift winged arrows of light.	(44, 6)	wwswwswws	wws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	When I think of my own native land,	(45, 6)	wwswwswws	wws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	In a moment I seem to be there;	(46, 6)	wwswwswws	wws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	But alas! recollection at hand	(47, 6)	wwswwswws	wws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	Soon hurries me back to despair.	(48, 6)	wswwswws	ws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	But the sea-fowl is gone to her nest,	(49, 7)	wwswwswws	wws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	The beast is laid down in his lair,	(50, 7)	wswwswws	ws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	Even here is a season of rest,	(51, 7)	wwswwswws	wws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	And I to my cabin repair.	(52, 7)	wswwswws	ws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	There is mercy in every place,	(53, 7)	wwswwswws	wws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	And mercy, encouraging thought!	(54, 7)	wswwswws	ws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	Gives even affliction a grace,	(55, 7)	wswwswws	ws|wws|wws
trimeter	anapestic	Z200323132	William Cowper	Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez	1782.0	And reconciles man to his lot.	(56, 7)	wswwswws	ws|wws|wws
tetrameter	dactylic	Z300289646	Robert Browning	The Lost Leader	1845.0	Just for a handful of silver he left us,	(1, 1)	swwswwswwsw	sww|sww|sww|sw
tetrameter	dactylic	Z300289646	Robert Browning	The Lost Leader	1845.0	Just for a riband to stick in his coat	(2, 1)	swwswwswws	sww|sww|sww|s
tetrameter	dactylic	Z300289646	Robert Browning	The Lost Leader	1845.0	Found the one gift of which fortune bereft us,	(3, 1)	swwswwswwsw	sww|sww|sww|sw
tetrameter	dactylic	Z300289646	Robert Browning	The Lost Leader	1845.0	Lost all the others she lets us devote;	(4, 1)	swwswwswws	sww|sww|sww|s
tetrameter	dactylic	Z300289646	Robert Browning	The Lost Leader	1845.0	They, with the gold to give, doled him out silver,	(5, 1)	swwswwswwsw	sww|sww|sww|sw
tetrameter	dactylic	Z300289646	Robert Browning	The Lost Leader	1845.0	So much was theirs who so little allowed:	(6, 1)	swwswwswws	sww|sww|sww|s
tetrameter	dactylic	Z300289646	Robert Browning	The Lost Leader	1845.0	How all our copper had gone for his service!	(7, 1)	swwswwswwsw	sww|sww|sww|sw
tetrameter	dactylic	Z300289646	Robert Browning	The Lost Leader	1845.0	Rags were they purple, his heart had been proud!	(8, 1)	swwswwswws	sww|sww|sww|s
tetrameter	dactylic	Z300289646	Robert Browning	The Lost Leader	1845.0	We that had loved him so, followed him, honoured him,	(9, 1)	swwswwswwsww	sww|sww|sww|sww
tetrameter	dactylic	Z300289646	Robert Browning	The Lost Leader	1845.0	Lived in his mild and magnificent eye,	(10, 1)	swwswwswws	sww|sww|sww|s
tetrameter	dactylic	Z300289646	Robert Browning	The Lost Leader	1845.0	Learned his great language, caught his clear accents,	(11, 1)	swwswswwsw	sww|sw.|sww|sw
tetrameter	dactylic	Z300289646	Robert Browning	The Lost Leader	1845.0	Made him our pattern to live and to die!	(12, 1)	swwswwswws	sww|sww|sww|s
tetrameter	dactylic	Z300289646	Robert Browning	The Lost Leader	1845.0	Shakespeare was of us, Milton was for us,	(13, 1)	swwswswwsw	sww|sw.|sww|sw
tetrameter	dactylic	Z300289646	Robert Browning	The Lost Leader	1845.0	Burns, Shelley, were with us, they watch from their graves!	(14, 1)	wswwswwswws	s|sww|sww|sww|s
tetrameter	dactylic	Z300289646	Robert Browning	The Lost Leader	1845.0	He alone breaks from the van and the freemen,	(15, 1)	swwswwswwsw	sww|sww|sww|sw
tetrameter	dactylic	Z300289646	Robert Browning	The Lost Leader	1845.0	He alone sinks to the rear and the slaves!	(16, 1)	swwswwswws	sww|sww|sww|s
tetrameter	dactylic	Z300289646	Robert Browning	The Lost Leader	1845.0	We shall march prospering, not thro' his presence;	(17, 2)	swwswwswwsw	sww|sww|sww|sw
tetrameter	dactylic	Z300289646	Robert Browning	The Lost Leader	1845.0	Songs may inspirit us, not from his lyre;	(18, 2)	swwswwswws	sww|sww|sww|s
tetrameter	dactylic	Z300289646	Robert Browning	The Lost Leader	1845.0	Deeds will be done, while he boasts his quiescence,	(19, 2)	swwswwswwsw	sww|sww|sww|sw
tetrameter	dactylic	Z300289646	Robert Browning	The Lost Leader	1845.0	Still bidding crouch whom the rest bade aspire:	(20, 2)	swwswwswws	sww|sww|sww|s
tetrameter	dactylic	Z300289646	Robert Browning	The Lost Leader	1845.0	Blot out his name, then, record one lost soul more,	(21, 2)	swwswwswsws	sww|sww|sww|sw
tetrameter	dactylic	Z300289646	Robert Browning	The Lost Leader	1845.0	One task more declined, one more footpath untrod,	(22, 2)	wswwswwswws	w|sww|sww|sww|s
tetrameter	dactylic	Z300289646	Robert Browning	The Lost Leader	1845.0	One more devils'-triumph and sorrow for angels,	(23, 2)	wwswswwswwsw	ww|sww|sww|sww|sw
tetrameter	dactylic	Z300289646	Robert Browning	The Lost Leader	1845.0	One wrong more to man, one more insult to God!	(24, 2)	wswwswwswws	w|sww|sww|sww|s
tetrameter	dactylic	Z300289646	Robert Browning	The Lost Leader	1845.0	Life's night begins: let him never come back to us!	(25, 2)	swwswwswwsww	sww|sww|sww|sww
tetrameter	dactylic	Z300289646	Robert Browning	The Lost Leader	1845.0	There would be doubt, hesitation and pain,	(26, 2)	swwswwswws	sww|sww|sww|s
tetrameter	dactylic	Z300289646	Robert Browning	The Lost Leader	1845.0	Forced praise on our part the glimmer of twilight,	(27, 2)	swswwswswws	w|sww|sww|sww|sw
tetrameter	dactylic	Z300289646	Robert Browning	The Lost Leader	1845.0	Never glad confident morning again!	(28, 2)	swwswwswws	sww|sww|sww|s
tetrameter	dactylic	Z300289646	Robert Browning	The Lost Leader	1845.0	Best fight on well, for we taught him strike gallantly,	(29, 2)	swwswwswwsww	sww|sww|sww|sww
tetrameter	dactylic	Z300289646	Robert Browning	The Lost Leader	1845.0	Menace our heart ere we master his own;	(30, 2)	swwswwswws	sww|sww|sww|s
tetrameter	dactylic	Z300289646	Robert Browning	The Lost Leader	1845.0	Then let him receive the new knowledge and wait us,	(31, 2)	wswwswwswwsw	w|sww|sww|sww|sw
tetrameter	dactylic	Z300289646	Robert Browning	The Lost Leader	1845.0	Pardoned in heaven, the first by the throne!	(32, 2)	swwswwswws	sww|sww|sww|s
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	This is the forest primeval. The murmuring pines and the hemlocks,	(1, 0)	swwswwswwswwswwsw	sww|sww|sww|sww|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	Bearded with moss, and in garments green, indistinct in the twilight,	(2, 0)	swwswwswswwswwsw	sww|sww|sw|sww|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	Stand like Druids of eld, with voices sad and prophetic,	(3, 0)	swswwswswswwsw	sw|sww|sw|sw|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	Stand like harpers hoar, with beards that rest on their bosoms.	(4, 0)	swswswswswwsw	sw|sw|sw|sw|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	Loud from its rocky caverns, the deep-voiced neighboring ocean	(5, 0)	swwswswwswwswwsw	sww|sw|sww|sww|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	Speaks, and in accents disconsolate answers the wail of the forest.	(6, 0)	swwswwswwswwswwsw	sww|sww|sww|sww|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	This is the forest primeval; but where are the hearts that beneath it	(7, 0)	swwswwswwswwswwsw	sww|sww|sww|sww|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	Leaped like the roe, when he hears in the woodland the voice of the huntsman?	(8, 0)	swwswwswwswwswwsw	sww|sww|sww|sww|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	Where is the thatch-roofed village, the home of Acadian farmers,	(9, 0)	swwswwswwswwswwsw	sww|sww|sww|sww|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	Men whose lives glided on like rivers that water the woodlands,	(10, 0)	swwswswswwswwsw	sw|sww|sw|sww|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	Darkened by shadows of earth, but reflecting an image of heaven?	(11, 0)	swwswwswwswwswwsw	sww|sww|sww|sww|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	Waste are those pleasant farms, and the farmers forever departed!	(12, 0)	swwswswwswwswwsw	sww|sw|sww|sww|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	Scattered like dust and leaves, when the mighty blasts of October	(13, 0)	swwswswwswswwsw	sww|sw|sww|sw|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	Seize them, and whirl them aloft, and sprinkle them far o'er the ocean.	(14, 0)	swwswwswswwswwsw	sww|sww|sw|sww|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	Naught but tradition remains of the beautiful village of Grand-Pré.	(15, 0)	swwswwswwswwswwsw	sww|sww|sww|sww|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	Ye who believe in affection that hopes, and endures, and is patient,	(16, 0)	swwswwswwswwswwsw	sww|sww|sww|sww|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	Ye who believe in the beauty and strength of woman's devotion,	(17, 0)	swwswwswwswswwsw	sww|sww|sww|sw|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	List to the mournful tradition, still sung by the pines of the forest;	(18, 0)	swwswwswwswwswwsw	sww|sww|sww|sww|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	List to a Tale of Love in Acadie, home of the happy.	(19, 0)	swwswswwswswwsw	sww|sw|sww|sw|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	In the Acadian land, on the shores of the Basin of Minas,	(20, 1)	swwswwswwswwswwsw	sww|sww|sww|sww|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	Distant, secluded, still, the little village of Grand-Pré	(21, 1)	swwswswswswwsw	sww|sw|sw|sw|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	Lay in the fruitful valley. Vast meadows stretched to the eastward,	(22, 1)	swwswswwswswwsw	sww|sw|sww|sw|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	Giving the village its name, and pasture to flocks without number.	(23, 1)	swwswwswswwswwsw	sww|sww|sw|sww|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	Dikes, that the hands of the farmers had raised with labor incessant,	(24, 1)	swwswwswwswswwsw	sww|sww|sww|sw|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	Shut out the turbulent tides; but at stated seasons the flood-gates	(25, 1)	swwswwswwswswwsw	sww|sww|sw|sww|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	Opened, and welcomed the sea to wander at will o'er the meadows.	(26, 1)	swwswwswswwswwsw	sww|sww|sw|sww|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	West and south there were fields of flax, and orchards and cornfields	(27, 1)	swswwswswswwsw	sw|sww|sw|sw|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	Spreading afar and unfenced o'er the plain; and away to the northward	(28, 1)	swwswwswwswwswwsw	sww|sww|sww|sww|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	Blomidon rose, and the forests old, and aloft on the mountains	(29, 1)	swwswwswswwswwsw	sww|sww|sw|sww|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	Sea-fogs pitched their tents, and mists from the mighty Atlantic	(30, 1)	swswswswwswwsw	sw|sw|sw|sww|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	Looked on the happy valley, but ne'er from their station descended.	(31, 1)	swwswswwswwswwsw	sww|sw|sww|sww|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	There, in the midst of its farms, reposed the Acadian village.	(32, 1)	swwswwswswwswwsw	sww|sww|sw|sww|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	Strongly built were the houses, with frames of oak and of hemlock,	(33, 1)	swswwswwswswwsw	sw|sww|sww|sw|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	Such as the peasants of Normandy built in the reign of the Henries.	(34, 1)	swwswwswwswwswwsw	sww|sww|sww|sww|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	Thatched were the roofs, with dormer-windows; and gables projecting	(35, 1)	swwswswswwswwsw	sww|sw|sww|sww|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	Over the basement below protected and shaded the doorway.	(36, 1)	swwswwswswwswwsw	sww|sww|sw|sww|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	There in the tranquil evenings of summer, when brightly the sunset	(37, 1)	swwswswwswwswwsw	sww|sw|sww|sww|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	Lighted the village street, and gilded the vanes on the chimneys,	(38, 1)	swwswswsswswwsw	sww|sw|sw|sww|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	Matrons and maidens sat in snow-white caps and in kirtles	(39, 1)	swwswswswswwsw	sww|sw|sw|sw|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	Scarlet and blue and green, with distaffs spinning the golden	(40, 1)	swwswswswswwsw	sww|sw|sw|sw|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	Flax for the gossiping looms, whose noisy shuttles within doors	(41, 1)	swwswwswswswsws	sww|sww|sw|sw|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	Mingled their sounds with the whir of the wheels and the songs of the maidens.	(42, 1)	swwswwswwswwswwsw	sww|sww|sww|sww|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	Solemnly down the street came the parish priest, and the children	(43, 1)	swwswswwswswwsw	sww|sw|sww|sw|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	Paused in their play to kiss the hand he extended to bless them.	(44, 1)	swwswswswwswwsw	sww|sw|sw|sww|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	Reverend walked he among them; and up rose matrons and maidens,	(45, 1)	swwswwswwswswwsw	sww|sww|sww|sw|sww|sw
hexameter	dactylic	Z300194508	Henry Wadsworth Longfellow	Evangeline: A Tale of Acadie	1847.0	Hailing his slow approach with words of affectionate welcome.	(46, 1)	swwswswswwswwsw	sww|sw|sw|sww|sww|sw
