meter,poem,line,scansion,feet,note
trochaic,The Raven,Eagerly I wished the morrow; vainly I had sought to borrow,swswswswswswswsw,sw|sw|sw|sw|sw|sw|sw|sw,
trochaic,The Raven,"That one word, as if his soul in that one word he did outpour.",swswswswswswsws,sw|sw|sw|sw|sw|sw|sw|s,
trochaic,The Raven,"This it is, and nothing more.”",swswsws,sw|sw|sw|s,
trochaic,The Raven,Though its answer little meaning little relevancy bore;,swswswswswswsws,sw|sw|sw|sw|sw|sw|sw|s,
trochaic,The Raven,"Startled at the stillness broken by reply so aptly spoken,",swswswswswswswsw,sw|sw|sw|sw|sw|sw|sw|sw,
trochaic,Why So Pale and Wan Fond Lover?,Prithee why so mute?,swsws,sw|sw|s,
trochaic,The Song of Hiawatha,"And their wild reverberations,",swswswsw,sw|sw|sw|sw,
trochaic,The Raven,"Presently my soul grew stronger; hesitating then no longer,",swswswswswswswsw,sw|sw|sw|sw|sw|sw|sw|sw,
trochaic,The Raven,"Quoth the raven, “Nevermore.”",swswsws,sw|sw|sw|s,
trochaic,The Raven,And each separate dying ember wrought its ghost upon the floor.,swswswswswswsws,sw|sw|sw|sw|sw|sw|sw|s,separate = 2 sylls (sep'rate)
trochaic,The Raven,"But whose velvet violet lining with the lamplight gloating o'er,",swswswswswswsws,sw|sw|sw|sw|sw|sw|sw|s,
trochaic,The Raven,"Perched, and sat, and nothing more.",swswsws,sw|sw|sw|s,
anapestic,Dolores (Notre-Dame des Sept Douleurs),"Ah, feed me and fill me with pleasure,",wswwswwsw,w|sww|sww|sw,
anapestic,Dolores (Notre-Dame des Sept Douleurs),What bud was the shell of a blossom,wswwswwsw,ws|wws|wws|w,
anapestic,Dolores (Notre-Dame des Sept Douleurs),"O splendid and sterile Dolores,",wswwswwsw,w|sww|sww|sw,
anapestic,The Destruction of Sennacherib,"And the foam of his gasping lay white on the turf,",wwswwswwswws,wws|wws|wws|wws,
anapestic,The Hunting of the Snark,“His form is ungainly his intellect small ”,wswwswwswws,ws|wws|wws|wws,
anapestic,The Hunting of the Snark,The crew was complete: it included a Boots,wswwswwswws,ws|wws|wws|wws,
anapestic,A Visit from St. Nicholas,"The moon on the breast of the new-fallen snow,",wswwswwswws,ws|wws|wws|wws,
anapestic,Dolores (Notre-Dame des Sept Douleurs),With the sweet of the sins of old ages,wwswwswwsw,wws|wws|wws|w,
anapestic,A Visit from St. Nicholas,"“Happy Christmas to all, and to all a good night.”",wwswwswwswws,wws|wws|wws|wws,
anapestic,How They Brought the Good News from Ghent to Aix,"Rolled neck and croup over, lay dead as a stone;",wswwswwswws,ws|wws|wws|wws,
anapestic,How They Brought the Good News from Ghent to Aix,“We'll remember at Aix” for one heard the quick wheeze,wwswwswwswws,wws|wws|wws|wws,
anapestic,A Visit from St. Nicholas,"A wink of his eye and a twist of his head,",wswwswwswws,ws|wws|wws|wws,
anapestic,The Hunting of the Snark,But the Bellman declared that would never agree,wwswwswwswws,wws|wws|wws|wws,
anapestic,A Visit from St. Nicholas,Down the chimney St. Nicholas came with a bound.,wwswwswwswws,wws|wws|wws|wws,
anapestic,How They Brought the Good News from Ghent to Aix,"The haze, as some bluff river headland its spray:",wswwswwswws,ws|wws|wws|wws,
anapestic,The Hunting of the Snark,There was only one Beaver on board;,wwswwswws,wws|wws|wws,
anapestic,The Last Oracle,In the shambles of faith and of fear.,wwswwswws,wws|wws|wws,
anapestic,The Hunting of the Snark,By a finger entwined in his hair.,wwswwswws,wws|wws|wws,
anapestic,The Last Oracle,And the world that was thine and was ours,wwswwswws,wws|wws|wws,
anapestic,The Last Oracle,They pass as the flight of a year.,wswwswws,ws|wws|wws,
anapestic,The Last Oracle,Take life at thine hands and death.,wswwsws,ws|wws|ws,
anapestic,The Hunting of the Snark,Whose death would be deeply deplored.,wswwswws,ws|wws|wws,
anapestic,The Last Oracle,That are gone in an age or twain;,wwswwsws,wws|wws|ws,
anapestic,Dolores (Notre-Dame des Sept Douleurs),And poisonous queen.,wswws,ws|wws,
anapestic,The Drawer's Dedication,"Be their Works or their Fortunes, or lucky, or scurvy;",wwswwswwswwsw,wws|wws|wws|wws|w,
anapestic,"Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez","The tempest itself lags behind,",wswwswws,ws|wws|wws,
anapestic,"Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez",Convey to this desolate shore,wswwswws,ws|wws|wws,
anapestic,Song,"Though April his temples may wreathe with the vine,",wswwswwswws,ws|wws|wws|wws,
anapestic,Song,"'Tis the ardour of August matures us the wine,",wwswwswwswws,wws|wws|wws|wws,
anapestic,"Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez","Never hear the sweet music of speech,",wwswwswws,wws|wws|wws,
dactylic,Amours de Voyage,Rome disappoints me still; but I shrink and adapt myself to it.,swwswswwswwswwsw,sww|sw|sww|sww|sww|sw,
dactylic,Amours de Voyage,"He must forsooth make a fuss and distend his huge Wittenberg lungs, and",swwswwswwswwswwsw,sww|sww|sww|sww|sww|sw,
dactylic,Amours de Voyage,Mostly in all that I see of the sixteenth-century masters;,swwswwswwswswwsw,sww|sww|sww|sw|sww|sw,
dactylic,Pasa Thalassa Thalassa,"Whether in Indian deeps or on flood-laden fields of Atlantis,",swwswwswwswwswwsw,sww|sww|sww|sww|sww|sw,
dactylic,Amours de Voyage,"Here we all are at Rome, and delighted of course with St. Peter's,",swwswswwswwswwsw,sww|sw|sww|sww|sww|sw,
dactylic,Amours de Voyage,"Come, let us go, to a land wherein gods of the old time wandered,",swwswwswwswwswsw,sww|sww|sww|sww|sw|sw,
dactylic,Amours de Voyage,"Not very gay, however; the English are mostly at Naples;",swwswswwswwswwsw,sww|sw|sww|sww|sww|sw,
dactylic,Amours de Voyage,"All the incongruous things of past incompatible ages,",swwswwswswwswwsw,sww|sww|sw|sww|sww|sw,
dactylic,The Bridge of Sighs,"From garret to basement,",wswwsw,w|sww|sw,
dactylic,Misconceptions,Fit for her nest and her treasure.,swwswwsw,sww|sww|sw,
dactylic,The Voice,"Travelling across the wet mead to me here,",swwswwswws,sww|sww|sww|s,Travelling = 1 syll (trav'ling)
dactylic,The Bridge of Sighs,"Thro' muddy impurity,",wswwsww,w|sww|sww,
dactylic,The Bridge of Sighs,"Perishing gloomily,",swwsww,sww|sww,
dactylic,The Bridge of Sighs,Look at her garments,swwsw,sww|sw,
dactylic,The Bridge of Sighs,"Young, and so fair!",swws,sww|s,
dactylic,The Bridge of Sighs,Gone to her death!,swws,sww|s,
dactylic,Evangeline: A Tale of Acadie,"Columns of pale blue smoke, like clouds of incense ascending,",swwswswswswwsw,sww|sw|sw|sw|sww|sw,
dactylic,Evangeline: A Tale of Acadie,"Leaped like the roe, when he hears in the woodland the voice of the huntsman?",swwswwswwswwswwsw,sww|sww|sww|sww|sww|sw,
dactylic,Evangeline: A Tale of Acadie,"List to the mournful tradition, still sung by the pines of the forest;",swwswwswwswwswwsw,sww|sww|sww|sww|sww|sw,
dactylic,Evangeline: A Tale of Acadie,"There the richest was poor, and the poorest lived in abundance.",swswwswwswswwsw,sw|sww|sww|sw|sww|sw,
dactylic,The Charge of the Light Brigade,Noble six hundred!,swwsw,sww|sw,
dactylic,Evangeline: A Tale of Acadie,"Somewhat apart from the village, and nearer the Basin of Minas,",swwswwswwswwswwsw,sww|sww|sww|sww|sww|sw,
dactylic,Eve,‘Eva!’ he said.,swws,sww|s,
dactylic,Eve,Picture her crying,swwsw,sww|sw,
dactylic,Eve,Titmouse and Jenny Wren,swwsws,sww|sw|s,
dactylic,The Lost Leader,"Lived in his mild and magnificent eye,",swwswwswws,sww|sww|sww|s,
dactylic,Evangeline: A Tale of Acadie,"There, in the midst of its farms, reposed the Acadian village.",swwswwswswwswwsw,sww|sww|sw|sww|sww|sw,
dactylic,Evangeline: A Tale of Acadie,"White as the snow were his locks, and his cheeks as brown as the oak-leaves.",swwswwswwswswwsw,sww|sww|sww|sw|sww|sw,
dactylic,Eve,"Kneeling, and he",swws,sww|s,
dactylic,The Lost Leader,"Deeds will be done, while he boasts his quiescence,",swwswwswwsw,sww|sww|sww|sw,
