meter,poem,line,scansion,feet_prior,feet_auto,feet,note
trochaic,The Last Oracle,Down from heaven till earth seemed more than heaven divine.,swswswswsws,s|w|s|w|s|w|s|w|s|w|s,sw|sw|sw|sw|sw|s,s|w|s|w|s|w|s|w|s|w|s,
trochaic,To a Skylark,"O'er which clouds are brightening,",swswsw,s|w|s|w|s|w,sw|sw|sw,s|w|s|w|s|w,
trochaic,To a Skylark,Drops so bright to see,swsws,s|w|s|w|s,sw|sw|s,s|w|s|w|s,
trochaic,To a Skylark,"Than we mortals dream,",swsws,s|w|s|w|s,sw|sw|s,s|w|s|w|s,
trochaic,The Song of Hiawatha,"In the green and silent valley,",swswswsw,sw|sw|sw|sw,sw|sw|sw|sw,sw|sw|sw|sw,
trochaic,The Raven,“'Tis some visiter entreating entrance at my chamber door,swswswswswswsws,sw|sw|sw|sw|sw|sw|sw|s,sw|sw|sw|sw|sw|sw|sw|s,sw|sw|sw|sw|sw|sw|sw|s,
trochaic,The Raven,And the silken sad uncertain rustling of each purple curtain,swswswswswswswsw,sw|sw|sw|sw|sw|sw|sw|sw,sw|sw|sw|sw|sw|sw|sw|sw,sw|sw|sw|sw|sw|sw|sw|sw,
trochaic,The Raven,"And the only word there spoken was the whispered word, “Lenore!”",swswswswswswsws,sw|sw|sw|sw|sw|sw|sw|s,sw|sw|sw|sw|sw|sw|sw|s,sw|sw|sw|sw|sw|sw|sw|s,
trochaic,The Song of Hiawatha,"Love the ballads of a people,",swswswsw,sw|sw|sw|sw,sw|sw|sw|sw,sw|sw|sw|sw,
trochaic,The Raven,"Desolate yet all undaunted, on this desert land enchanted",swswswswswswswsw,sw|sw|sw|sw|sw|sw|sw|sw,sw|sw|sw|sw|sw|sw|sw|sw,sw|sw|sw|sw|sw|sw|sw|sw,
trochaic,The Raven,"Quoth the raven, “Nevermore.”",swswsws,sw|sw|sw|s,sw|sw|sw|s,sw|sw|sw|s,
trochaic,The Tyger,In what furnace was thy brain?,swswsws,sw|sw|sw|s,sw|sw|sw|s,sw|sw|sw|s,
trochaic,The Raven,"Darkness there, and nothing more.",swswsws,sw|sw|sw|s,sw|sw|sw|s,sw|sw|sw|s,
trochaic,The Song of Hiawatha,In the eyry of the eagle!,swswswsw,sw|sw|sw|sw,sw|sw|sw|sw,sw|sw|sw|sw,
trochaic,The Song of Hiawatha,To this Song of Hiawatha!,swswswsw,sw|sw|sw|sw,sw|sw|sw|sw,sw|sw|sw|sw,
trochaic,The Song of Hiawatha,"Through their palisades of pine-trees,",swswswsw,sw|sw|sw|sw,sw|sw|sw|sw,sw|sw|sw|sw,
trochaic,The Raven,Eagerly I wished the morrow; vainly I had sought to borrow,swswswswswswswsw,sw|sw|sw|sw|sw|sw|sw|sw,sw|sw|sw|sw|sw|sw|sw|sw,sw|sw|sw|sw|sw|sw|sw|sw,
trochaic,The Raven,"That one word, as if his soul in that one word he did outpour.",swswswswswswsws,sw|sw|sw|sw|sw|sw|sw|s,sw|sw|sw|sw|sw|sw|sw|s,sw|sw|sw|sw|sw|sw|sw|s,
trochaic,The Raven,"This it is, and nothing more.”",swswsws,sw|sw|sw|s,sw|sw|sw|s,sw|sw|sw|s,
trochaic,The Raven,Though its answer little meaning little relevancy bore;,swswswswswswsws,sw|sw|sw|sw|sw|sw|sw|s,sw|sw|sw|sw|sw|sw|sw|s,sw|sw|sw|sw|sw|sw|sw|s,
trochaic,The Raven,"Startled at the stillness broken by reply so aptly spoken,",swswswswswswswsw,sw|sw|sw|sw|sw|sw|sw|sw,sw|sw|sw|sw|sw|sw|sw|sw,sw|sw|sw|sw|sw|sw|sw|sw,
trochaic,Why So Pale and Wan Fond Lover?,Prithee why so mute?,swsws,sw|sw|s,sw|sw|s,sw|sw|s,
trochaic,The Song of Hiawatha,"And their wild reverberations,",swswswsw,sw|sw|sw|sw,sw|sw|sw|sw,sw|sw|sw|sw,
trochaic,The Raven,"Presently my soul grew stronger; hesitating then no longer,",swswswswswswswsw,sw|sw|sw|sw|sw|sw|sw|sw,sw|sw|sw|sw|sw|sw|sw|sw,sw|sw|sw|sw|sw|sw|sw|sw,
trochaic,The Raven,"Quoth the raven, “Nevermore.”",swswsws,sw|sw|sw|s,sw|sw|sw|s,sw|sw|sw|s,
trochaic,The Raven,And each separate dying ember wrought its ghost upon the floor.,swswswswswswsws,sw|sw|sw|sw|sw|sw|sw|s,sw|sw|sw|sw|sw|sw|sw|s,sw|sw|sw|sw|sw|sw|sw|s,
trochaic,The Raven,"But whose velvet violet lining with the lamplight gloating o'er,",swswswswswswsws,sw|sw|sw|sw|sw|sw|sw|s,sw|sw|sw|sw|sw|sw|sw|s,sw|sw|sw|sw|sw|sw|sw|s,
trochaic,The Raven,"Perched, and sat, and nothing more.",swswsws,sw|sw|sw|s,sw|sw|sw|s,sw|sw|sw|s,
anapestic,Dolores (Notre-Dame des Sept Douleurs),"Ah, feed me and fill me with pleasure,",wswwswwsw,w|s|ww|s|ww|s|w,wsw|wsw|wsw,w|s|ww|s|ww|s|w,
anapestic,Dolores (Notre-Dame des Sept Douleurs),What bud was the shell of a blossom,wswwswwsw,w|s|ww|s|ww|s|w,wsw|wsw|wsw,w|s|ww|s|ww|s|w,
anapestic,Dolores (Notre-Dame des Sept Douleurs),"O splendid and sterile Dolores,",wswwswwsw,w|s|ww|s|ww|s|w,wsw|wsw|wsw,w|s|ww|s|ww|s|w,
anapestic,The Destruction of Sennacherib,"And the foam of his gasping lay white on the turf,",wwswwswwswws,ww|s|ww|s|ww|s|ww|s,wws|wws|wws|wws,ww|s|ww|s|ww|s|ww|s,
anapestic,The Hunting of the Snark,“His form is ungainly his intellect small ”,wswwswwswws,w|s|ww|s|ww|s|ww|s,ws|wws|wws|wws,w|s|ww|s|ww|s|ww|s,
anapestic,The Hunting of the Snark,The crew was complete: it included a Boots,wswwswwswws,w|s|ww|s|ww|s|ww|s,ws|wws|wws|wws,w|s|ww|s|ww|s|ww|s,
anapestic,A Visit from St. Nicholas,"The moon on the breast of the new-fallen snow,",wswwswwswws,w|s|ww|s|ww|s|ww|s,ws|wws|wws|wws,w|s|ww|s|ww|s|ww|s,
anapestic,Dolores (Notre-Dame des Sept Douleurs),With the sweet of the sins of old ages,wwswwswwsw,ww|s|ww|s|ww|s|w,wws|wws|wwsw,ww|s|ww|s|ww|s|w,
anapestic,A Visit from St. Nicholas,"“Happy Christmas to all, and to all a good night.”",wwswwswwswws,ww|s|ww|s|ww|s|ww|s,wws|wws|wws|wws,ww|s|ww|s|ww|s|ww|s,
anapestic,How They Brought the Good News from Ghent to Aix,"Rolled neck and croup over, lay dead as a stone;",wswwswwswws,w|s|ww|s|ww|s|ww|s,ws|wws|wws|wws,w|s|ww|s|ww|s|ww|s,
anapestic,How They Brought the Good News from Ghent to Aix,“We'll remember at Aix” for one heard the quick wheeze,wwswwswwswws,ww|s|ww|s|ww|s|ww|s,wws|wws|wws|wws,ww|s|ww|s|ww|s|ww|s,
anapestic,A Visit from St. Nicholas,"A wink of his eye and a twist of his head,",wswwswwswws,w|s|ww|s|ww|s|ww|s,ws|wws|wws|wws,w|s|ww|s|ww|s|ww|s,
anapestic,The Hunting of the Snark,But the Bellman declared that would never agree,wwswwswwswws,ww|s|ww|s|ww|s|ww|s,wws|wws|wws|wws,ww|s|ww|s|ww|s|ww|s,
anapestic,A Visit from St. Nicholas,Down the chimney St. Nicholas came with a bound.,wwswwswwswws,ww|s|ww|s|ww|s|ww|s,wws|wws|wws|wws,ww|s|ww|s|ww|s|ww|s,
anapestic,How They Brought the Good News from Ghent to Aix,"The haze, as some bluff river headland its spray:",wswwswwswws,w|s|ww|s|ww|s|ww|s,ws|wws|wws|wws,w|s|ww|s|ww|s|ww|s,
anapestic,The Hunting of the Snark,There was only one Beaver on board;,wwswwswws,ww|s|ww|s|ww|s,wws|wws|wws,ww|s|ww|s|ww|s,
anapestic,The Last Oracle,In the shambles of faith and of fear.,wwswwswws,ww|s|ww|s|ww|s,wws|wws|wws,ww|s|ww|s|ww|s,
anapestic,The Hunting of the Snark,By a finger entwined in his hair.,wwswwswws,ww|s|ww|s|ww|s,wws|wws|wws,ww|s|ww|s|ww|s,
anapestic,The Last Oracle,And the world that was thine and was ours,wwswwswws,ww|s|ww|s|ww|s,wws|wws|wws,ww|s|ww|s|ww|s,
anapestic,The Last Oracle,They pass as the flight of a year.,wswwswws,w|s|ww|s|ww|s,ws|wws|wws,w|s|ww|s|ww|s,
anapestic,The Last Oracle,Take life at thine hands and death.,wswwsws,w|s|ww|s|w|s,ws|wws|ws,w|s|ww|s|w|s,
anapestic,The Hunting of the Snark,Whose death would be deeply deplored.,wswwswws,w|s|ww|s|ww|s,ws|wws|wws,w|s|ww|s|ww|s,
anapestic,The Last Oracle,That are gone in an age or twain;,wwswwsws,ww|s|ww|s|w|s,wws|wws|ws,ww|s|ww|s|w|s,
anapestic,Dolores (Notre-Dame des Sept Douleurs),And poisonous queen.,wswws,w|s|ww|s,ws|wws,w|s|ww|s,
anapestic,The Drawer's Dedication,"Be their Works or their Fortunes, or lucky, or scurvy;",wwswwswwswwsw,wws|wws|wws|wws|w,wws|wws|wws|wwsw,wws|wws|wws|wws|w,
anapestic,"Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez","The tempest itself lags behind,",wswwswws,ws|wws|wws,ws|wws|wws,ws|wws|wws,
anapestic,"Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez",Convey to this desolate shore,wswwswws,ws|wws|wws,ws|wws|wws,ws|wws|wws,
anapestic,Song,"Though April his temples may wreathe with the vine,",wswwswwswws,ws|wws|wws|wws,ws|wws|wws|wws,ws|wws|wws|wws,
anapestic,Song,"'Tis the ardour of August matures us the wine,",wwswwswwswws,wws|wws|wws|wws,wws|wws|wws|wws,wws|wws|wws|wws,
anapestic,"Verses, Supposed to be Written by Alexander Selkirk, During His Solitary Abode in the Island of Juan Fernandez","Never hear the sweet music of speech,",wwswwswws,wws|wws|wws,wws|wws|wws,wws|wws|wws,
dactylic,Amours de Voyage,Rome disappoints me still; but I shrink and adapt myself to it.,swwswswwswwswwsw,s|ww|s|w|s|ww|s|ww|s|ww|s|w,sww|sw|sww|sww|sww|sw,s|ww|s|w|s|ww|s|ww|s|ww|s|w,
dactylic,Amours de Voyage,"He must forsooth make a fuss and distend his huge Wittenberg lungs, and",swwswwswwswwswwsw,s|ww|s|ww|s|ww|s|ww|s|ww|s|w,sww|sww|sww|sww|sww|sw,s|ww|s|ww|s|ww|s|ww|s|ww|s|w,
dactylic,Amours de Voyage,Mostly in all that I see of the sixteenth-century masters;,swwswwswwswswwsw,s|ww|s|ww|s|ww|s|w|s|ww|s|w,sww|sww|sww|sw|sww|sw,s|ww|s|ww|s|ww|s|w|s|ww|s|w,
dactylic,Pasa Thalassa Thalassa,"Whether in Indian deeps or on flood-laden fields of Atlantis,",swwswwswwswwswwsw,s|ww|s|ww|s|ww|s|ww|s|ww|s|w,sww|sww|sww|sww|sww|sw,s|ww|s|ww|s|ww|s|ww|s|ww|s|w,
dactylic,Amours de Voyage,"Here we all are at Rome, and delighted of course with St. Peter's,",swwswswwswwswwsw,s|ww|s|w|s|ww|s|ww|s|ww|s|w,sww|sw|sww|sww|sww|sw,s|ww|s|w|s|ww|s|ww|s|ww|s|w,
dactylic,Amours de Voyage,"Come, let us go, to a land wherein gods of the old time wandered,",swwswwswwswwswsw,s|ww|s|ww|s|ww|s|ww|s|w|s|w,sww|sww|sww|sww|sw|sw,s|ww|s|ww|s|ww|s|ww|s|w|s|w,
dactylic,Amours de Voyage,"Not very gay, however; the English are mostly at Naples;",swwswswwswwswwsw,s|ww|s|w|s|ww|s|ww|s|ww|s|w,sww|sw|sww|sww|sww|sw,s|ww|s|w|s|ww|s|ww|s|ww|s|w,
dactylic,Amours de Voyage,"All the incongruous things of past incompatible ages,",swwswwswswwswwsw,s|ww|s|ww|s|w|s|ww|s|ww|s|w,sww|sww|sw|sww|sww|sw,s|ww|s|ww|s|w|s|ww|s|ww|s|w,
dactylic,The Bridge of Sighs,"From garret to basement,",wswwsw,w|s|ww|s|w,wsw|wsw,w|s|ww|s|w,
dactylic,Misconceptions,Fit for her nest and her treasure.,swwswwsw,s|ww|s|ww|s|w,sww|sww|sw,s|ww|s|ww|s|w,
dactylic,The Voice,"Travelling across the wet mead to me here,",swwswwswws,s|ww|s|ww|s|ww|s,sww|sww|sww|s,s|ww|s|ww|s|ww|s,
dactylic,The Bridge of Sighs,"Thro' muddy impurity,",wswwsww,w|s|ww|s|ww,wsww|sww,w|s|ww|s|ww,
dactylic,The Bridge of Sighs,"Perishing gloomily,",swwsww,s|ww|s|ww,sww|sww,s|ww|s|ww,
dactylic,The Bridge of Sighs,Look at her garments,swwsw,s|ww|s|w,sww|sw,s|ww|s|w,
dactylic,The Bridge of Sighs,"Young, and so fair!",swws,s|ww|s,sww|s,s|ww|s,
dactylic,The Bridge of Sighs,Gone to her death!,swws,s|ww|s,sww|s,s|ww|s,
dactylic,Evangeline: A Tale of Acadie,"Columns of pale blue smoke, like clouds of incense ascending,",swwswswswswwsw,sww|sw|sw|sw|sww|sw,sww|sw|sw|sw|sww|sw,sww|sw|sw|sw|sww|sw,
dactylic,Evangeline: A Tale of Acadie,"Leaped like the roe, when he hears in the woodland the voice of the huntsman?",swwswwswwswwswwsw,sww|sww|sww|sww|sww|sw,sww|sww|sww|sww|sww|sw,sww|sww|sww|sww|sww|sw,
dactylic,Evangeline: A Tale of Acadie,"List to the mournful tradition, still sung by the pines of the forest;",swwswwswwswwswwsw,sww|sww|sww|sww|sww|sw,sww|sww|sww|sww|sww|sw,sww|sww|sww|sww|sww|sw,
dactylic,Evangeline: A Tale of Acadie,"There the richest was poor, and the poorest lived in abundance.",swswwswwswswwsw,sw|sww|sww|sw|sww|sw,sw|sww|sww|sw|sww|sw,sw|sww|sww|sw|sww|sw,
dactylic,The Charge of the Light Brigade,Noble six hundred!,swwsw,sww|sw,sww|sw,sww|sw,
dactylic,Evangeline: A Tale of Acadie,"Somewhat apart from the village, and nearer the Basin of Minas,",swwswwswwswwswwsw,sww|sww|sww|sww|sww|sw,sww|sww|sww|sww|sww|sw,sww|sww|sww|sww|sww|sw,
dactylic,Eve,‘Eva!’ he said.,swws,sww|s,sww|s,sww|s,
dactylic,Eve,Picture her crying,swwsw,sww|sw,sww|sw,sww|sw,
dactylic,Eve,Titmouse and Jenny Wren,swwsww,sww|sww,sww|sww,sww|sww,
dactylic,The Lost Leader,"Lived in his mild and magnificent eye,",swwswwswws,sww|sww|sww|s,sww|sww|sww|s,sww|sww|sww|s,
dactylic,Evangeline: A Tale of Acadie,"There, in the midst of its farms, reposed the Acadian village.",swwswwswswwswwsw,sww|sww|sw|sww|sww|sw,sww|sww|sw|sww|sww|sw,sww|sww|sw|sww|sww|sw,
dactylic,Evangeline: A Tale of Acadie,"White as the snow were his locks, and his cheeks as brown as the oak-leaves.",swwswwswwswswwsw,sww|sww|sww|sw|sww|sw,sww|sww|sww|sw|sww|sw,sww|sww|sww|sw|sww|sw,
dactylic,Eve,"Kneeling, and he",swws,sww|s,sww|s,sww|s,
dactylic,The Lost Leader,"Deeds will be done, while he boasts his quiescence,",swwswwswwsw,sww|sww|sww|sw,sww|sww|sww|sw,sww|sww|sww|sw,
